Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Features;Model
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8368;0.9066;0.8368;0.8568;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8368;0.9066;0.8368;0.8568;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8368;0.9066;0.8368;0.8568;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8368;0.9066;0.8368;0.8568;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8368;0.9066;0.8368;0.8568;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8368;0.9066;0.8368;0.8568;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8368;0.9066;0.8368;0.8568;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7971;0.8581;0.7971;0.7863;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7971;0.8581;0.7971;0.7863;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7971;0.8581;0.7971;0.7863;1.0;not-balanced;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];MLPClassifier()
