Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8964,0.9123,0.8964,0.8875,0.0782,0.9218,0.93,0.9218,0.9192,0.9127,0.9224,0.9127,0.9097,0.9753,0.0873,not-balanced,50,20,10,8,5,926,kbest,"['disgust', 'a_score']","{'disgust': 0.0009, 'a_score': 0.3603}",KNeighborsClassifier()
KNeighborsClassifier,0.8997,0.9174,0.8997,0.8918,0.0863,0.9137,0.9234,0.9137,0.9107,0.9127,0.9224,0.9127,0.9097,0.9758,0.0873,not-balanced,50,20,10,7,4,345,kbest,"['disgust', 'a_score']","{'disgust': 0.0009, 'a_score': 0.364}",KNeighborsClassifier()
KNeighborsClassifier,0.8917,0.91,0.8917,0.8837,0.08,0.92,0.9281,0.92,0.9175,0.9127,0.9224,0.9127,0.9097,0.9745,0.0873,not-balanced,50,20,10,5,4,772,kbest,"['disgust', 'a_score']","{'disgust': 0.0006, 'a_score': 0.3618}",KNeighborsClassifier()
KNeighborsClassifier,0.914,0.9239,0.914,0.9028,0.0901,0.9099,0.9176,0.9099,0.9072,0.9127,0.9211,0.9127,0.9099,0.9666,0.0873,not-balanced,50,20,10,8,2,229,kbest,"['trust', 'a_score']","{'trust': 0.0052, 'a_score': 0.3581}",KNeighborsClassifier()
KNeighborsClassifier,0.9089,0.9201,0.9089,0.8985,0.0847,0.9153,0.924,0.9153,0.9125,0.9127,0.9224,0.9127,0.9097,0.9595,0.0873,not-balanced,50,20,10,6,5,522,kbest,"['disgust', 'a_score']","{'disgust': 0.0016, 'a_score': 0.3568}",KNeighborsClassifier()
KNeighborsClassifier,0.9132,0.9232,0.9132,0.9032,0.0831,0.9169,0.9259,0.9169,0.9141,0.9127,0.9224,0.9127,0.9097,0.9507,0.0873,not-balanced,50,20,10,2,1,338,kbest,"['disgust', 'a_score']","{'disgust': 0.0005, 'a_score': 0.3603}",KNeighborsClassifier()
KNeighborsClassifier,0.9083,0.9207,0.9083,0.8983,0.0847,0.9153,0.9242,0.9153,0.9126,0.9127,0.9224,0.9127,0.9097,0.975,0.0873,not-balanced,50,20,10,9,1,876,kbest,"['disgust', 'a_score']","{'disgust': 0.0014, 'a_score': 0.3619}",KNeighborsClassifier()
KNeighborsClassifier,0.8992,0.9117,0.8992,0.8902,0.0816,0.9184,0.9256,0.9184,0.916,0.9125,0.921,0.9125,0.9096,0.962,0.0875,not-balanced,50,20,10,5,1,569,kbest,"['trust', 'a_score']","{'trust': 0.003, 'a_score': 0.3553}",KNeighborsClassifier()
KNeighborsClassifier,0.9009,0.9178,0.9009,0.8928,0.0847,0.9153,0.9248,0.9153,0.9126,0.9123,0.9221,0.9123,0.9092,0.9759,0.0877,not-balanced,50,20,10,5,5,578,kbest,"['disgust', 'a_score']","{'disgust': 0.0023, 'a_score': 0.3577}",KNeighborsClassifier()
KNeighborsClassifier,0.906,0.921,0.906,0.8971,0.0865,0.9135,0.9229,0.9135,0.9106,0.9123,0.9221,0.9123,0.9092,0.9765,0.0877,not-balanced,50,20,10,1,5,101,kbest,"['disgust', 'a_score']","{'disgust': 0.0019, 'a_score': 0.3608}",KNeighborsClassifier()
