Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9147,0.9201,0.9147,0.9039,0.9117,0.9182,0.9117,0.9091,0.9156,0.9222,0.9156,0.9132,0.9681,not-balanced,100,10,5,1,787,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.007, 'anger': 0.0064, 'anticipation': 0.0046, 'trust': 0.0044, 'surprise': 0.0036, 'sadness': 0.006, 'disgust': 0.0051, 'joy': 0.004, 'a_score': 0.3677}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9132,0.9194,0.9132,0.902,0.9169,0.9229,0.9169,0.9147,0.9156,0.9226,0.9156,0.9132,0.965,not-balanced,100,10,9,2,908,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0044, 'anticipation': 0.0044, 'trust': 0.0044, 'surprise': 0.0059, 'sadness': 0.0064, 'disgust': 0.0049, 'joy': 0.0036, 'a_score': 0.3688}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9159,0.922,0.9159,0.9054,0.9132,0.9195,0.9132,0.9107,0.9156,0.9221,0.9156,0.9132,0.9683,not-balanced,100,10,5,5,101,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0074, 'anger': 0.0046, 'anticipation': 0.0047, 'trust': 0.0046, 'surprise': 0.0038, 'sadness': 0.0072, 'disgust': 0.0044, 'joy': 0.0042, 'a_score': 0.3698}",DecisionTreeClassifier()
DecisionTreeClassifier,0.912,0.9177,0.912,0.901,0.9168,0.9223,0.9168,0.9145,0.9156,0.9223,0.9156,0.9132,0.9657,not-balanced,100,10,10,1,278,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0062, 'anger': 0.004, 'anticipation': 0.0051, 'trust': 0.0052, 'surprise': 0.0043, 'sadness': 0.0066, 'disgust': 0.0039, 'joy': 0.0064, 'a_score': 0.367}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9147,0.9203,0.9147,0.9035,0.9152,0.9206,0.9152,0.9131,0.9156,0.9221,0.9156,0.9132,0.9693,not-balanced,100,10,10,4,368,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0032, 'anticipation': 0.006, 'trust': 0.0053, 'surprise': 0.0047, 'sadness': 0.005, 'disgust': 0.0061, 'joy': 0.005, 'a_score': 0.3636}",DecisionTreeClassifier()
RandomForestClassifier,0.9171,0.9223,0.9171,0.9063,0.9103,0.9173,0.9103,0.9078,0.9156,0.9223,0.9156,0.9133,0.9758,not-balanced,100,10,10,5,946,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0069, 'anger': 0.0038, 'anticipation': 0.0049, 'trust': 0.0043, 'surprise': 0.0047, 'sadness': 0.0061, 'disgust': 0.0044, 'joy': 0.0078, 'a_score': 0.3685}",RandomForestClassifier()
RandomForestClassifier,0.9119,0.9172,0.9119,0.9005,0.9132,0.9186,0.9132,0.911,0.9155,0.9211,0.9155,0.9133,0.9752,not-balanced,100,10,6,1,538,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0041, 'anticipation': 0.0056, 'trust': 0.0057, 'surprise': 0.0042, 'sadness': 0.007, 'disgust': 0.0048, 'joy': 0.0084, 'a_score': 0.3648}",RandomForestClassifier()
DecisionTreeClassifier,0.9137,0.9196,0.9137,0.9023,0.913,0.9187,0.913,0.9107,0.9154,0.9221,0.9154,0.913,0.9662,not-balanced,100,10,6,4,103,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.004, 'anticipation': 0.0062, 'trust': 0.0046, 'surprise': 0.0041, 'sadness': 0.0078, 'disgust': 0.0057, 'joy': 0.0045, 'a_score': 0.3665}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9156,0.9214,0.9156,0.9044,0.912,0.9192,0.912,0.9094,0.9154,0.9226,0.9154,0.9129,0.9666,not-balanced,100,10,7,3,67,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0051, 'anger': 0.0043, 'anticipation': 0.0048, 'trust': 0.0043, 'surprise': 0.005, 'sadness': 0.0065, 'disgust': 0.0032, 'joy': 0.0048, 'a_score': 0.3678}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9133,0.9189,0.9133,0.9021,0.9142,0.9205,0.9142,0.9118,0.9154,0.9225,0.9154,0.9129,0.9664,not-balanced,100,10,2,4,367,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0065, 'anger': 0.0039, 'anticipation': 0.0059, 'trust': 0.0055, 'surprise': 0.0049, 'sadness': 0.0072, 'disgust': 0.005, 'joy': 0.0053, 'a_score': 0.3695}",DecisionTreeClassifier()
