Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.846,0.8491,0.846,0.743,0.8328,0.824,0.8328,0.825,0.8452,0.8372,0.8452,0.8375,0.9293,not-balanced,100,10,9,1,158,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0034, 'anger': 0.0028, 'anticipation': 0.0031, 'trust': 0.0092, 'surprise': 0.0055, 'sadness': 0.0048, 'disgust': 0.0031, 'joy': 0.0073, 'a_score': 0.4013}",KNeighborsClassifier()
KNeighborsClassifier,0.8185,0.8228,0.8185,0.7045,0.8399,0.8509,0.8399,0.8402,0.8452,0.8559,0.8452,0.8455,0.9445,not-balanced,100,10,8,4,156,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0045, 'anger': 0.0023, 'anticipation': 0.0051, 'trust': 0.0022, 'surprise': 0.0051, 'sadness': 0.0058, 'disgust': 0.0038, 'joy': 0.0082, 'a_score': 0.4169}",KNeighborsClassifier()
KNeighborsClassifier,0.8338,0.8465,0.8338,0.7531,0.841,0.829,0.841,0.8287,0.8452,0.8346,0.8452,0.8331,0.9552,not-balanced,100,10,6,2,964,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0047, 'anticipation': 0.0065, 'trust': 0.0043, 'surprise': 0.004, 'sadness': 0.005, 'disgust': 0.0056, 'joy': 0.006, 'a_score': 0.3925}",KNeighborsClassifier()
KNeighborsClassifier,0.8365,0.8393,0.8365,0.7285,0.8411,0.86,0.8411,0.8419,0.8451,0.8635,0.8451,0.8458,0.9518,not-balanced,100,10,1,2,474,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0048, 'anger': 0.0059, 'anticipation': 0.0044, 'trust': 0.004, 'surprise': 0.0051, 'sadness': 0.0051, 'disgust': 0.002, 'joy': 0.0081, 'a_score': 0.4292}",KNeighborsClassifier()
KNeighborsClassifier,0.8328,0.8462,0.8328,0.7614,0.8412,0.8609,0.8412,0.842,0.8451,0.8649,0.8451,0.8461,0.942,not-balanced,100,10,2,3,370,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0056, 'anger': 0.0011, 'anticipation': 0.0081, 'trust': 0.0049, 'surprise': 0.0029, 'sadness': 0.0094, 'disgust': 0.0011, 'joy': 0.0042, 'a_score': 0.4253}",KNeighborsClassifier()
KNeighborsClassifier,0.8342,0.8452,0.8342,0.7546,0.8388,0.8319,0.8388,0.8326,0.8446,0.8383,0.8446,0.839,0.9535,not-balanced,100,10,4,1,439,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0039, 'anticipation': 0.0034, 'trust': 0.0078, 'surprise': 0.004, 'sadness': 0.0069, 'disgust': 0.0026, 'joy': 0.0059, 'a_score': 0.4008}",KNeighborsClassifier()
KNeighborsClassifier,0.8348,0.8369,0.8348,0.7313,0.8378,0.8268,0.8378,0.8261,0.8431,0.8326,0.8431,0.8319,0.9499,not-balanced,100,10,3,3,334,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0033, 'anger': 0.0021, 'anticipation': 0.005, 'trust': 0.0046, 'surprise': 0.0046, 'sadness': 0.0074, 'disgust': 0.0052, 'joy': 0.0039, 'a_score': 0.3881}",KNeighborsClassifier()
KNeighborsClassifier,0.8398,0.8498,0.8398,0.7568,0.8382,0.8542,0.8382,0.8393,0.843,0.8586,0.843,0.8441,0.9538,not-balanced,100,10,5,4,484,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0024, 'anticipation': 0.0059, 'trust': 0.0042, 'surprise': 0.006, 'sadness': 0.0061, 'disgust': 0.0034, 'joy': 0.0061, 'a_score': 0.4226}",KNeighborsClassifier()
KNeighborsClassifier,0.8334,0.8371,0.8334,0.7374,0.8412,0.8501,0.8412,0.8415,0.8428,0.8524,0.8428,0.8432,0.9375,not-balanced,100,10,2,4,302,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0099, 'anger': 0.0052, 'anticipation': 0.0047, 'trust': 0.0083, 'surprise': 0.0038, 'sadness': 0.0089, 'disgust': 0.007, 'joy': 0.0056, 'a_score': 0.4172}",KNeighborsClassifier()
KNeighborsClassifier,0.8288,0.835,0.8288,0.7233,0.8382,0.8287,0.8382,0.8291,0.8426,0.8327,0.8426,0.8331,0.9535,not-balanced,100,10,9,2,205,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.003, 'anger': 0.0052, 'anticipation': 0.0062, 'trust': 0.0097, 'surprise': 0.0044, 'sadness': 0.004, 'disgust': 0.0065, 'joy': 0.0065, 'a_score': 0.3955}",KNeighborsClassifier()
