Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.8468,0.8371,0.8468,0.7064,0.8403,0.8295,0.8403,0.829,0.8552,0.8475,0.8552,0.846,0.9477,not-balanced,100,10,9,3,333,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0127, 'anger': 0.0074, 'anticipation': 0.0104, 'trust': 0.0145, 'surprise': 0.0094, 'sadness': 0.013, 'disgust': 0.0072, 'joy': 0.0087, 'a_score': 0.4153}",DecisionTreeClassifier()
RandomForestClassifier,0.8438,0.8669,0.8438,0.7847,0.849,0.872,0.849,0.8491,0.8551,0.8787,0.8551,0.8554,0.9605,not-balanced,100,10,3,4,786,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0087, 'anger': 0.006, 'anticipation': 0.008, 'trust': 0.0101, 'surprise': 0.0071, 'sadness': 0.0106, 'disgust': 0.0087, 'joy': 0.0077, 'a_score': 0.4409}",RandomForestClassifier()
RandomForestClassifier,0.8465,0.8689,0.8465,0.7894,0.8492,0.8686,0.8492,0.849,0.8551,0.876,0.8551,0.8547,0.9615,not-balanced,100,10,2,1,56,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0057, 'anticipation': 0.0108, 'trust': 0.009, 'surprise': 0.0086, 'sadness': 0.0116, 'disgust': 0.0075, 'joy': 0.0093, 'a_score': 0.438}",RandomForestClassifier()
RandomForestClassifier,0.851,0.8707,0.851,0.7892,0.8433,0.86,0.8433,0.8427,0.855,0.8727,0.855,0.8547,0.9635,not-balanced,100,10,9,5,513,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.007, 'anticipation': 0.0093, 'trust': 0.0106, 'surprise': 0.0085, 'sadness': 0.0104, 'disgust': 0.0067, 'joy': 0.0097, 'a_score': 0.4371}",RandomForestClassifier()
RandomForestClassifier,0.8447,0.8645,0.8447,0.7804,0.8475,0.8651,0.8475,0.8473,0.855,0.8726,0.855,0.855,0.9607,not-balanced,100,10,3,1,176,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0081, 'anger': 0.0063, 'anticipation': 0.0085, 'trust': 0.0105, 'surprise': 0.009, 'sadness': 0.0116, 'disgust': 0.0094, 'joy': 0.0142, 'a_score': 0.4353}",RandomForestClassifier()
DecisionTreeClassifier,0.8493,0.8676,0.8493,0.7875,0.8415,0.8669,0.8415,0.8414,0.8549,0.8775,0.8549,0.8551,0.9485,not-balanced,100,10,4,1,807,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0129, 'anger': 0.0058, 'anticipation': 0.0101, 'trust': 0.0101, 'surprise': 0.0102, 'sadness': 0.0113, 'disgust': 0.0084, 'joy': 0.0115, 'a_score': 0.4402}",DecisionTreeClassifier()
RandomForestClassifier,0.8412,0.8488,0.8412,0.7433,0.8468,0.8379,0.8468,0.8373,0.8549,0.8477,0.8549,0.8456,0.9612,not-balanced,100,10,2,4,54,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0066, 'anticipation': 0.0074, 'trust': 0.0089, 'surprise': 0.0071, 'sadness': 0.0097, 'disgust': 0.0066, 'joy': 0.0069, 'a_score': 0.4076}",RandomForestClassifier()
RandomForestClassifier,0.8469,0.8661,0.8469,0.7822,0.847,0.8636,0.847,0.8463,0.8549,0.8716,0.8549,0.8543,0.9616,not-balanced,100,10,2,3,240,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0098, 'anger': 0.0064, 'anticipation': 0.0093, 'trust': 0.0088, 'surprise': 0.0074, 'sadness': 0.0102, 'disgust': 0.0061, 'joy': 0.0123, 'a_score': 0.431}",RandomForestClassifier()
RandomForestClassifier,0.8462,0.8649,0.8462,0.7829,0.8473,0.8652,0.8473,0.8467,0.8549,0.8725,0.8549,0.8544,0.9619,not-balanced,100,10,10,5,572,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0124, 'anger': 0.0074, 'anticipation': 0.0089, 'trust': 0.0119, 'surprise': 0.0067, 'sadness': 0.0126, 'disgust': 0.0084, 'joy': 0.009, 'a_score': 0.4372}",RandomForestClassifier()
RandomForestClassifier,0.8486,0.8669,0.8486,0.7858,0.8452,0.8625,0.8452,0.8447,0.8549,0.8732,0.8549,0.8545,0.9625,not-balanced,100,10,3,5,5,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0112, 'anger': 0.0064, 'anticipation': 0.0118, 'trust': 0.0091, 'surprise': 0.0074, 'sadness': 0.0112, 'disgust': 0.0079, 'joy': 0.0081, 'a_score': 0.4342}",RandomForestClassifier()
DecisionTreeClassifier,0.845,0.8628,0.845,0.7834,0.8453,0.8638,0.8453,0.8455,0.8548,0.874,0.8548,0.855,0.9455,not-balanced,100,10,7,4,764,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0123, 'anger': 0.0054, 'anticipation': 0.0089, 'trust': 0.0108, 'surprise': 0.007, 'sadness': 0.0113, 'disgust': 0.0091, 'joy': 0.0097, 'a_score': 0.4409}",DecisionTreeClassifier()
RandomForestClassifier,0.8444,0.8649,0.8444,0.7829,0.8471,0.8723,0.8471,0.8472,0.8548,0.8781,0.8548,0.8549,0.9611,not-balanced,100,10,4,4,248,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0072, 'anticipation': 0.0087, 'trust': 0.0101, 'surprise': 0.0079, 'sadness': 0.0099, 'disgust': 0.0066, 'joy': 0.0079, 'a_score': 0.4391}",RandomForestClassifier()
RandomForestClassifier,0.8448,0.8662,0.8448,0.7823,0.8497,0.8718,0.8497,0.8496,0.8546,0.8753,0.8546,0.8543,0.9607,not-balanced,100,10,3,2,785,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0089, 'anger': 0.0062, 'anticipation': 0.0083, 'trust': 0.0091, 'surprise': 0.0074, 'sadness': 0.0111, 'disgust': 0.0053, 'joy': 0.0096, 'a_score': 0.4334}",RandomForestClassifier()
DecisionTreeClassifier,0.8462,0.8652,0.8462,0.7871,0.8409,0.8633,0.8409,0.8407,0.8546,0.8764,0.8546,0.8547,0.9493,not-balanced,100,10,10,4,585,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0135, 'anger': 0.0064, 'anticipation': 0.0095, 'trust': 0.0101, 'surprise': 0.0083, 'sadness': 0.0145, 'disgust': 0.0074, 'joy': 0.0101, 'a_score': 0.4448}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8468,0.8633,0.8468,0.7839,0.8433,0.8619,0.8433,0.8431,0.8546,0.8726,0.8546,0.8548,0.9487,not-balanced,100,10,8,1,52,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0135, 'anger': 0.0066, 'anticipation': 0.0102, 'trust': 0.012, 'surprise': 0.0104, 'sadness': 0.013, 'disgust': 0.0084, 'joy': 0.0106, 'a_score': 0.4412}",DecisionTreeClassifier()
RandomForestClassifier,0.8466,0.8691,0.8466,0.7887,0.847,0.8717,0.847,0.8478,0.8546,0.8785,0.8546,0.8549,0.9621,not-balanced,100,10,10,1,907,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0059, 'anticipation': 0.009, 'trust': 0.0101, 'surprise': 0.0086, 'sadness': 0.0107, 'disgust': 0.0057, 'joy': 0.012, 'a_score': 0.4379}",RandomForestClassifier()
RandomForestClassifier,0.8465,0.8637,0.8465,0.7732,0.8472,0.8678,0.8472,0.847,0.8546,0.8751,0.8546,0.8546,0.9617,not-balanced,100,10,7,1,542,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0118, 'anger': 0.0067, 'anticipation': 0.0092, 'trust': 0.0103, 'surprise': 0.0063, 'sadness': 0.0091, 'disgust': 0.0072, 'joy': 0.0078, 'a_score': 0.4407}",RandomForestClassifier()
RandomForestClassifier,0.8451,0.8593,0.8451,0.76,0.8486,0.8716,0.8486,0.8487,0.8546,0.8771,0.8546,0.8545,0.9623,not-balanced,100,10,4,5,655,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0094, 'anger': 0.0066, 'anticipation': 0.0066, 'trust': 0.0105, 'surprise': 0.0093, 'sadness': 0.0114, 'disgust': 0.0057, 'joy': 0.0062, 'a_score': 0.4356}",RandomForestClassifier()
RandomForestClassifier,0.8469,0.8686,0.8469,0.7901,0.8435,0.8712,0.8435,0.8439,0.8545,0.8782,0.8545,0.8544,0.9624,not-balanced,100,10,6,1,71,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0078, 'anticipation': 0.0093, 'trust': 0.0078, 'surprise': 0.0066, 'sadness': 0.0108, 'disgust': 0.0076, 'joy': 0.0088, 'a_score': 0.4415}",RandomForestClassifier()
RandomForestClassifier,0.852,0.8719,0.852,0.7977,0.8411,0.8674,0.8411,0.8416,0.8544,0.8765,0.8544,0.8545,0.9638,not-balanced,100,10,10,3,357,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0067, 'anticipation': 0.01, 'trust': 0.0095, 'surprise': 0.0064, 'sadness': 0.0108, 'disgust': 0.0095, 'joy': 0.0123, 'a_score': 0.4426}",RandomForestClassifier()
DecisionTreeClassifier,0.846,0.8646,0.846,0.7876,0.8481,0.8682,0.8481,0.8487,0.8544,0.8736,0.8544,0.8549,0.9501,not-balanced,100,10,7,3,331,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0134, 'anger': 0.0064, 'anticipation': 0.0121, 'trust': 0.0114, 'surprise': 0.0103, 'sadness': 0.0158, 'disgust': 0.0086, 'joy': 0.0121, 'a_score': 0.4383}",DecisionTreeClassifier()
