Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.9124,0.9215,0.9124,0.9001,0.0803,0.9197,0.9287,0.9197,0.9171,0.9144,0.9246,0.9144,0.9114,0.965,0.0856,not-balanced,50,80,10,1,4,889,kbest,"['disgust', 'a_score']","{'disgust': 0.0002, 'a_score': 0.3525}",KNeighborsClassifier()
KNeighborsClassifier,0.8884,0.9095,0.8884,0.8815,0.0825,0.9175,0.9269,0.9175,0.9147,0.9143,0.9245,0.9143,0.9113,0.9571,0.0857,not-balanced,50,80,10,9,3,295,kbest,"['disgust', 'a_score']","{'disgust': 0.0003, 'a_score': 0.3552}",KNeighborsClassifier()
KNeighborsClassifier,0.9017,0.9152,0.9017,0.8919,0.0819,0.9181,0.9274,0.9181,0.9154,0.9143,0.9244,0.9143,0.9113,0.9585,0.0857,not-balanced,50,80,10,2,5,950,kbest,"['disgust', 'a_score']","{'disgust': 0.0003, 'a_score': 0.3557}",KNeighborsClassifier()
KNeighborsClassifier,0.9015,0.9133,0.9015,0.8923,0.0817,0.9183,0.927,0.9183,0.9155,0.9141,0.9239,0.9141,0.9112,0.9743,0.0859,not-balanced,50,80,10,3,5,759,kbest,"['trust', 'a_score']","{'trust': 0.0011, 'a_score': 0.3587}",KNeighborsClassifier()
KNeighborsClassifier,0.9045,0.9162,0.9045,0.8945,0.0854,0.9146,0.9245,0.9146,0.9118,0.9141,0.9239,0.9141,0.9111,0.9592,0.0859,not-balanced,50,80,10,6,2,143,kbest,"['trust', 'a_score']","{'trust': 0.0009, 'a_score': 0.356}",KNeighborsClassifier()
KNeighborsClassifier,0.9023,0.9131,0.9023,0.8922,0.0818,0.9182,0.9271,0.9182,0.9155,0.9141,0.9239,0.9141,0.9111,0.9743,0.0859,not-balanced,50,80,10,8,2,960,kbest,"['trust', 'a_score']","{'trust': 0.0012, 'a_score': 0.3558}",KNeighborsClassifier()
KNeighborsClassifier,0.9105,0.9224,0.9105,0.899,0.0836,0.9164,0.926,0.9164,0.9137,0.9141,0.9241,0.9141,0.9111,0.9652,0.0859,not-balanced,50,80,10,6,3,778,kbest,"['disgust', 'a_score']","{'disgust': 0.0007, 'a_score': 0.3563}",KNeighborsClassifier()
KNeighborsClassifier,0.9045,0.9164,0.9045,0.8944,0.0854,0.9146,0.9247,0.9146,0.9117,0.914,0.9241,0.914,0.911,0.9668,0.086,not-balanced,50,80,10,7,1,96,kbest,"['disgust', 'a_score']","{'disgust': 0.0009, 'a_score': 0.3581}",KNeighborsClassifier()
KNeighborsClassifier,0.8955,0.9134,0.8955,0.8873,0.0871,0.9129,0.923,0.9129,0.9099,0.9139,0.9237,0.9139,0.911,0.9754,0.0861,not-balanced,50,80,10,5,1,8,kbest,"['disgust', 'a_score']","{'disgust': 0.0008, 'a_score': 0.3596}",KNeighborsClassifier()
KNeighborsClassifier,0.8954,0.9081,0.8954,0.8865,0.0855,0.9145,0.9241,0.9145,0.9117,0.9139,0.9235,0.9139,0.9109,0.959,0.0861,not-balanced,50,80,10,5,2,592,kbest,"['trust', 'a_score']","{'trust': 0.001, 'a_score': 0.3575}",KNeighborsClassifier()
