Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Features;Model
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;60;10;kbest;['surprise', 'sadness', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;60;10;kbest;['surprise', 'sadness', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;70;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;60;10;kbest;['surprise', 'sadness', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;60;10;kbest;['surprise', 'sadness', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;60;10;kbest;['surprise', 'sadness', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;70;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;60;10;kbest;['surprise', 'sadness', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;70;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;70;10;kbest;['fear', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
