Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.6212,0.6388,0.6212,0.4559,0.5978,0.6641,0.5978,0.521,0.6053,0.6783,0.6053,0.5319,0.7743,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.006, 'anger': 0.0042, 'anticipation': 0.0037, 'trust': 0.0027, 'surprise': 0.0017, 'sadness': 0.0044, 'disgust': 0.0047, 'joy': 0.0026, 'a_score': 0.1728}",MLPClassifier()
SVC,0.5734,0.5286,0.5734,0.3803,0.5759,0.5371,0.5759,0.5228,0.5826,0.5421,0.5826,0.5293,0.6538,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0002, 'anger': 0.0001, 'anticipation': -0.0002, 'trust': 0.0003, 'surprise': 0.0003, 'sadness': 0.0002, 'disgust': 0.0007, 'joy': 0.0006, 'a_score': 0.1116}",SVC(probability=True)
LogisticRegression,0.4199,0.4134,0.4199,0.2981,0.4193,0.4156,0.4193,0.4167,0.4165,0.412,0.4165,0.4138,0.6702,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0036, 'anger': -0.0, 'anticipation': -0.001, 'trust': -0.0037, 'surprise': 0.001, 'sadness': -0.0055, 'disgust': -0.0008, 'joy': -0.0032, 'a_score': -0.0296}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
