Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8492,0.8682,0.8492,0.7845,0.8511,0.8727,0.8511,0.8512,0.8587,0.88,0.8587,0.8586,0.9639,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0085, 'anger': 0.005, 'anticipation': 0.0072, 'trust': 0.0089, 'surprise': 0.008, 'sadness': 0.0095, 'disgust': 0.0063, 'joy': 0.01, 'a_score': 0.438}",RandomForestClassifier()
RandomForestClassifier,0.8491,0.8677,0.8491,0.7849,0.8501,0.8725,0.8501,0.8502,0.8586,0.881,0.8586,0.8585,0.9635,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0091, 'anger': 0.0054, 'anticipation': 0.0075, 'trust': 0.0098, 'surprise': 0.0074, 'sadness': 0.0086, 'disgust': 0.0059, 'joy': 0.0094, 'a_score': 0.4372}",RandomForestClassifier()
RandomForestClassifier,0.8491,0.867,0.8491,0.7828,0.8511,0.8721,0.8511,0.8512,0.8582,0.8796,0.8582,0.8582,0.9643,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0088, 'anger': 0.0056, 'anticipation': 0.0074, 'trust': 0.009, 'surprise': 0.0076, 'sadness': 0.0093, 'disgust': 0.0062, 'joy': 0.0103, 'a_score': 0.4365}",RandomForestClassifier()
RandomForestClassifier,0.8492,0.864,0.8492,0.7756,0.8497,0.8705,0.8497,0.8497,0.8581,0.8787,0.8581,0.8579,0.9642,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0081, 'anger': 0.0059, 'anticipation': 0.0074, 'trust': 0.0096, 'surprise': 0.0065, 'sadness': 0.0112, 'disgust': 0.0063, 'joy': 0.0097, 'a_score': 0.4372}",RandomForestClassifier()
RandomForestClassifier,0.8492,0.8631,0.8492,0.7739,0.8493,0.8687,0.8493,0.8493,0.858,0.8773,0.858,0.8578,0.964,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.0051, 'anticipation': 0.0072, 'trust': 0.01, 'surprise': 0.0078, 'sadness': 0.0095, 'disgust': 0.0064, 'joy': 0.0087, 'a_score': 0.4347}",RandomForestClassifier()
DecisionTreeClassifier,0.8492,0.8402,0.8492,0.7093,0.8458,0.8364,0.8458,0.8354,0.858,0.8504,0.858,0.8488,0.9503,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0117, 'anger': 0.0072, 'anticipation': 0.0106, 'trust': 0.0116, 'surprise': 0.009, 'sadness': 0.0116, 'disgust': 0.0067, 'joy': 0.0128, 'a_score': 0.4112}",DecisionTreeClassifier()
RandomForestClassifier,0.8489,0.8674,0.8489,0.7872,0.8501,0.8714,0.8501,0.8504,0.8578,0.8789,0.8578,0.8578,0.9637,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0084, 'anger': 0.0052, 'anticipation': 0.007, 'trust': 0.0089, 'surprise': 0.0077, 'sadness': 0.0096, 'disgust': 0.0074, 'joy': 0.0097, 'a_score': 0.4356}",RandomForestClassifier()
DecisionTreeClassifier,0.8498,0.8433,0.8498,0.7108,0.8453,0.8357,0.8453,0.8342,0.8576,0.8496,0.8576,0.8476,0.9509,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0119, 'anger': 0.0078, 'anticipation': 0.0109, 'trust': 0.0112, 'surprise': 0.0089, 'sadness': 0.0122, 'disgust': 0.0072, 'joy': 0.012, 'a_score': 0.4126}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8508,0.8415,0.8508,0.7074,0.8449,0.8352,0.8449,0.8342,0.8575,0.8499,0.8575,0.8482,0.9517,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0077, 'anticipation': 0.0105, 'trust': 0.011, 'surprise': 0.0096, 'sadness': 0.0115, 'disgust': 0.0082, 'joy': 0.0116, 'a_score': 0.4116}",DecisionTreeClassifier()
RandomForestClassifier,0.8485,0.8654,0.8485,0.7823,0.8503,0.8717,0.8503,0.8505,0.8573,0.8789,0.8573,0.8572,0.9641,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.006, 'anticipation': 0.0084, 'trust': 0.0097, 'surprise': 0.0081, 'sadness': 0.01, 'disgust': 0.0067, 'joy': 0.0095, 'a_score': 0.4369}",RandomForestClassifier()
