Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8451,0.8549,0.8451,0.8442,0.8518,0.8664,0.8518,0.8503,0.8533,0.8678,0.8533,0.8519,0.943,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0111, 'anger': 0.0084, 'anticipation': 0.0107, 'trust': 0.0132, 'surprise': 0.0071, 'sadness': 0.0129, 'disgust': 0.0081, 'joy': 0.0096, 'a_score': 0.3724}",RandomForestClassifier()
DecisionTreeClassifier,0.8524,0.8641,0.8524,0.8514,0.8438,0.8544,0.8438,0.8427,0.8531,0.8639,0.8531,0.852,0.9322,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0126, 'anger': 0.0083, 'anticipation': 0.0124, 'trust': 0.0144, 'surprise': 0.0113, 'sadness': 0.0129, 'disgust': 0.0092, 'joy': 0.0115, 'a_score': 0.3739}",DecisionTreeClassifier()
RandomForestClassifier,0.8491,0.8629,0.8491,0.8478,0.8523,0.8667,0.8523,0.8509,0.853,0.8664,0.853,0.8517,0.9446,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0082, 'anger': 0.0085, 'anticipation': 0.0099, 'trust': 0.0132, 'surprise': 0.0093, 'sadness': 0.0107, 'disgust': 0.0059, 'joy': 0.008, 'a_score': 0.3716}",RandomForestClassifier()
RandomForestClassifier,0.8468,0.86,0.8468,0.8456,0.8494,0.8625,0.8494,0.8481,0.8524,0.8653,0.8524,0.8511,0.9448,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0101, 'anger': 0.0089, 'anticipation': 0.0092, 'trust': 0.014, 'surprise': 0.0082, 'sadness': 0.0138, 'disgust': 0.0059, 'joy': 0.0085, 'a_score': 0.3633}",RandomForestClassifier()
RandomForestClassifier,0.8393,0.8464,0.8393,0.8386,0.8525,0.8675,0.8525,0.851,0.8524,0.8664,0.8524,0.851,0.9422,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0108, 'anger': 0.0083, 'anticipation': 0.008, 'trust': 0.0136, 'surprise': 0.009, 'sadness': 0.0118, 'disgust': 0.0068, 'joy': 0.0078, 'a_score': 0.3685}",RandomForestClassifier()
RandomForestClassifier,0.8411,0.8517,0.8411,0.84,0.8518,0.868,0.8518,0.8502,0.852,0.8671,0.852,0.8505,0.9439,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0096, 'anger': 0.0075, 'anticipation': 0.0089, 'trust': 0.0119, 'surprise': 0.0079, 'sadness': 0.0112, 'disgust': 0.0059, 'joy': 0.0076, 'a_score': 0.3633}",RandomForestClassifier()
RandomForestClassifier,0.8416,0.8501,0.8416,0.8407,0.8467,0.8475,0.8467,0.8466,0.8506,0.8513,0.8506,0.8505,0.9431,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0106, 'anger': 0.01, 'anticipation': 0.0092, 'trust': 0.0116, 'surprise': 0.0075, 'sadness': 0.0123, 'disgust': 0.0083, 'joy': 0.0074, 'a_score': 0.3648}",RandomForestClassifier()
DecisionTreeClassifier,0.85,0.8557,0.85,0.8495,0.8413,0.8422,0.8413,0.8412,0.8502,0.8509,0.8502,0.8502,0.9323,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0148, 'anger': 0.0096, 'anticipation': 0.0098, 'trust': 0.0133, 'surprise': 0.0113, 'sadness': 0.0136, 'disgust': 0.0089, 'joy': 0.0096, 'a_score': 0.3729}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8475,0.8508,0.8475,0.8472,0.8395,0.8398,0.8395,0.8394,0.8502,0.8506,0.8502,0.8502,0.9313,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0127, 'anger': 0.0085, 'anticipation': 0.0128, 'trust': 0.013, 'surprise': 0.0095, 'sadness': 0.0197, 'disgust': 0.0076, 'joy': 0.0095, 'a_score': 0.3699}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8496,0.8519,0.8496,0.8494,0.8391,0.8404,0.8391,0.839,0.85,0.851,0.85,0.8499,0.9338,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0114, 'anger': 0.0081, 'anticipation': 0.0098, 'trust': 0.0122, 'surprise': 0.0126, 'sadness': 0.0151, 'disgust': 0.0097, 'joy': 0.0081, 'a_score': 0.3798}",DecisionTreeClassifier()
