Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8391,0.832,0.8391,0.715,0.8441,0.8391,0.8441,0.8369,0.8506,0.8445,0.8506,0.843,0.9606,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0104, 'anger': 0.0066, 'anticipation': 0.0089, 'trust': 0.0097, 'surprise': 0.009, 'sadness': 0.0116, 'disgust': 0.007, 'joy': 0.007, 'a_score': 0.4141}",RandomForestClassifier()
RandomForestClassifier,0.8408,0.8339,0.8408,0.7207,0.8448,0.8381,0.8448,0.8374,0.8501,0.8429,0.8501,0.8428,0.9606,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0105, 'anger': 0.0063, 'anticipation': 0.0098, 'trust': 0.0108, 'surprise': 0.0112, 'sadness': 0.0171, 'disgust': 0.0104, 'joy': 0.0086, 'a_score': 0.4142}",RandomForestClassifier()
RandomForestClassifier,0.8378,0.845,0.8378,0.743,0.8448,0.8381,0.8448,0.8367,0.85,0.843,0.85,0.8417,0.9615,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0094, 'anger': 0.0059, 'anticipation': 0.0092, 'trust': 0.0122, 'surprise': 0.0103, 'sadness': 0.0124, 'disgust': 0.0086, 'joy': 0.0087, 'a_score': 0.4198}",RandomForestClassifier()
RandomForestClassifier,0.8437,0.8368,0.8437,0.716,0.8459,0.8389,0.8459,0.8381,0.8499,0.8421,0.8499,0.8418,0.9602,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0075, 'anger': 0.0073, 'anticipation': 0.0083, 'trust': 0.0132, 'surprise': 0.0107, 'sadness': 0.0196, 'disgust': 0.0106, 'joy': 0.0074, 'a_score': 0.4127}",RandomForestClassifier()
RandomForestClassifier,0.8388,0.8354,0.8388,0.7184,0.8441,0.8365,0.8441,0.8354,0.8499,0.8419,0.8499,0.8413,0.9598,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0083, 'anger': 0.007, 'anticipation': 0.0109, 'trust': 0.015, 'surprise': 0.01, 'sadness': 0.0118, 'disgust': 0.0092, 'joy': 0.0083, 'a_score': 0.4147}",RandomForestClassifier()
RandomForestClassifier,0.8393,0.8378,0.8393,0.7264,0.8457,0.8394,0.8457,0.838,0.8498,0.8434,0.8498,0.8424,0.9613,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0071, 'anger': 0.0054, 'anticipation': 0.0083, 'trust': 0.0134, 'surprise': 0.0101, 'sadness': 0.0112, 'disgust': 0.0086, 'joy': 0.0077, 'a_score': 0.4181}",RandomForestClassifier()
RandomForestClassifier,0.837,0.8358,0.837,0.7035,0.847,0.8403,0.847,0.8387,0.8496,0.8422,0.8496,0.8413,0.9596,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0089, 'anger': 0.0073, 'anticipation': 0.0103, 'trust': 0.0125, 'surprise': 0.0104, 'sadness': 0.0115, 'disgust': 0.0064, 'joy': 0.0078, 'a_score': 0.4165}",RandomForestClassifier()
RandomForestClassifier,0.8333,0.8301,0.8333,0.7035,0.8434,0.8351,0.8434,0.8351,0.849,0.8405,0.849,0.8407,0.9596,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0096, 'anger': 0.0061, 'anticipation': 0.0064, 'trust': 0.014, 'surprise': 0.0088, 'sadness': 0.0156, 'disgust': 0.0127, 'joy': 0.0071, 'a_score': 0.4138}",RandomForestClassifier()
RandomForestClassifier,0.8468,0.85,0.8468,0.7495,0.8421,0.8349,0.8421,0.8347,0.8486,0.8413,0.8486,0.8412,0.9627,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0089, 'anger': 0.0061, 'anticipation': 0.0116, 'trust': 0.015, 'surprise': 0.011, 'sadness': 0.0167, 'disgust': 0.011, 'joy': 0.0069, 'a_score': 0.414}",RandomForestClassifier()
DecisionTreeClassifier,0.8465,0.8625,0.8465,0.7801,0.8389,0.8608,0.8389,0.8397,0.8483,0.8692,0.8483,0.8488,0.9426,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0123, 'anger': 0.0092, 'anticipation': 0.013, 'trust': 0.0154, 'surprise': 0.0131, 'sadness': 0.0118, 'disgust': 0.0128, 'joy': 0.0069, 'a_score': 0.4423}",DecisionTreeClassifier()
