Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9162,0.9208,0.9162,0.9057,0.9148,0.9192,0.9148,0.9128,0.9123,0.9175,0.9123,0.9101,0.9684,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0053, 'anger': 0.0036, 'anticipation': 0.0062, 'trust': 0.0076, 'surprise': 0.0047, 'sadness': 0.0115, 'disgust': 0.0036, 'joy': 0.0041, 'a_score': 0.3792}",DecisionTreeClassifier()
RandomForestClassifier,0.9098,0.9148,0.9098,0.899,0.9126,0.9166,0.9126,0.9104,0.9121,0.9174,0.9121,0.9098,0.9762,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0062, 'anger': 0.0028, 'anticipation': 0.0044, 'trust': 0.006, 'surprise': 0.0052, 'sadness': 0.0097, 'disgust': 0.0049, 'joy': 0.0038, 'a_score': 0.3706}",RandomForestClassifier()
RandomForestClassifier,0.9121,0.9174,0.9121,0.9016,0.9146,0.9186,0.9146,0.9125,0.9121,0.9181,0.9121,0.9097,0.9744,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.007, 'anger': 0.0039, 'anticipation': 0.0049, 'trust': 0.0055, 'surprise': 0.0049, 'sadness': 0.0071, 'disgust': 0.003, 'joy': 0.0038, 'a_score': 0.3704}",RandomForestClassifier()
DecisionTreeClassifier,0.9137,0.918,0.9137,0.903,0.9157,0.9205,0.9157,0.9136,0.9121,0.9174,0.9121,0.9099,0.9641,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0045, 'anger': 0.0044, 'anticipation': 0.007, 'trust': 0.0085, 'surprise': 0.006, 'sadness': 0.0124, 'disgust': 0.0027, 'joy': 0.0072, 'a_score': 0.3721}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9136,0.9178,0.9136,0.903,0.9155,0.9199,0.9155,0.9135,0.912,0.9172,0.912,0.9098,0.9636,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0061, 'anger': 0.0033, 'anticipation': 0.0058, 'trust': 0.0073, 'surprise': 0.0056, 'sadness': 0.0118, 'disgust': 0.0037, 'joy': 0.0062, 'a_score': 0.376}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9111,0.9155,0.9111,0.9002,0.915,0.9191,0.915,0.9131,0.9118,0.9164,0.9118,0.9096,0.9634,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0082, 'anger': 0.0041, 'anticipation': 0.0072, 'trust': 0.0077, 'surprise': 0.0066, 'sadness': 0.0143, 'disgust': 0.0033, 'joy': 0.0075, 'a_score': 0.3703}",DecisionTreeClassifier()
RandomForestClassifier,0.9096,0.9138,0.9096,0.8992,0.9112,0.9156,0.9112,0.9089,0.9118,0.918,0.9118,0.9093,0.9757,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0039, 'anticipation': 0.0045, 'trust': 0.0059, 'surprise': 0.0038, 'sadness': 0.0078, 'disgust': 0.0043, 'joy': 0.0033, 'a_score': 0.3716}",RandomForestClassifier()
RandomForestClassifier,0.9123,0.9167,0.9123,0.9021,0.9105,0.9143,0.9105,0.9083,0.9116,0.917,0.9116,0.9093,0.9761,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0041, 'anger': 0.0025, 'anticipation': 0.005, 'trust': 0.0057, 'surprise': 0.0056, 'sadness': 0.0087, 'disgust': 0.0042, 'joy': 0.0068, 'a_score': 0.3748}",RandomForestClassifier()
RandomForestClassifier,0.9115,0.9163,0.9115,0.901,0.9121,0.9161,0.9121,0.9099,0.9116,0.9173,0.9116,0.9093,0.9748,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0068, 'anger': 0.0045, 'anticipation': 0.0047, 'trust': 0.0044, 'surprise': 0.0034, 'sadness': 0.007, 'disgust': 0.0036, 'joy': 0.0053, 'a_score': 0.3737}",RandomForestClassifier()
DecisionTreeClassifier,0.9146,0.9193,0.9146,0.904,0.9139,0.9177,0.9139,0.912,0.9115,0.9162,0.9115,0.9093,0.9654,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0053, 'anger': 0.0036, 'anticipation': 0.0073, 'trust': 0.0087, 'surprise': 0.0072, 'sadness': 0.0128, 'disgust': 0.0032, 'joy': 0.0054, 'a_score': 0.3708}",DecisionTreeClassifier()
