Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.838,0.8401,0.838,0.6859,0.353,0.8465,0.8357,0.8465,0.8295,0.8522,0.8405,0.8522,0.8357,0.9435,0.3406,not-balanced,60,50,10,1,3,343,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0048, 'trust': 0.0017, 'a_score': 0.3921}",KNeighborsClassifier()
KNeighborsClassifier,0.8385,0.8422,0.8385,0.727,0.3574,0.843,0.8338,0.843,0.831,0.8522,0.8427,0.8522,0.8409,0.9591,0.3424,not-balanced,70,50,10,3,1,780,kbest,"['fear', 'trust', 'sadness', 'joy', 'a_score']","{'fear': 0.0042, 'trust': 0.0019, 'sadness': 0.0034, 'joy': 0.0015, 'a_score': 0.3976}",KNeighborsClassifier()
KNeighborsClassifier,0.8276,0.8374,0.8276,0.7098,0.3454,0.8463,0.8733,0.8463,0.8455,0.8522,0.8799,0.8522,0.8522,0.9568,0.3414,not-balanced,70,50,10,1,2,994,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0, 'trust': 0.0021, 'surprise': 0.0021, 'joy': 0.0013, 'a_score': 0.4264}",KNeighborsClassifier()
KNeighborsClassifier,0.8376,0.8442,0.8376,0.741,0.3627,0.8436,0.8637,0.8436,0.8427,0.8522,0.8703,0.8522,0.8511,0.9531,0.3409,not-balanced,70,50,10,6,1,554,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0063, 'trust': 0.003, 'surprise': 0.0018, 'sadness': 0.004, 'a_score': 0.4287}",KNeighborsClassifier()
KNeighborsClassifier,0.8423,0.8592,0.8423,0.7263,0.3399,0.8507,0.8752,0.8507,0.85,0.8519,0.878,0.8519,0.8516,0.9522,0.3414,not-balanced,50,50,10,9,1,198,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.4233}",KNeighborsClassifier()
KNeighborsClassifier,0.8435,0.8663,0.8435,0.7554,0.3514,0.8449,0.8362,0.8449,0.8342,0.8518,0.8428,0.8518,0.8415,0.9505,0.3426,not-balanced,60,50,10,4,1,97,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0025, 'trust': 0.0012, 'a_score': 0.3994}",KNeighborsClassifier()
KNeighborsClassifier,0.8382,0.8381,0.8382,0.7046,0.3482,0.8448,0.8788,0.8448,0.8445,0.8516,0.8838,0.8516,0.8518,0.9361,0.3372,not-balanced,70,50,10,7,2,214,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0017, 'surprise': 0.0016, 'sadness': 0.0032, 'joy': 0.0033, 'a_score': 0.4339}",KNeighborsClassifier()
KNeighborsClassifier,0.8315,0.8395,0.8315,0.7212,0.3575,0.8432,0.8351,0.8432,0.8329,0.8516,0.8432,0.8516,0.8417,0.9553,0.3422,not-balanced,70,50,10,1,3,343,kbest,"['fear', 'trust', 'sadness', 'joy', 'a_score']","{'fear': 0.0021, 'trust': 0.0026, 'sadness': 0.003, 'joy': 0.0006, 'a_score': 0.3968}",KNeighborsClassifier()
KNeighborsClassifier,0.84,0.8517,0.84,0.7462,0.332,0.8529,0.8767,0.8529,0.8528,0.8515,0.8754,0.8515,0.8518,0.9546,0.337,not-balanced,70,50,10,9,1,198,kbest,"['fear', 'trust', 'sadness', 'joy', 'a_score']","{'fear': 0.004, 'trust': 0.0011, 'sadness': 0.0031, 'joy': 0.0013, 'a_score': 0.4227}",KNeighborsClassifier()
KNeighborsClassifier,0.8294,0.8387,0.8294,0.7022,0.3388,0.8499,0.8411,0.8499,0.8391,0.8509,0.8414,0.8509,0.8397,0.9461,0.3439,not-balanced,60,50,10,2,1,143,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0009, 'trust': 0.0005, 'a_score': 0.3929}",KNeighborsClassifier()
KNeighborsClassifier,0.8289,0.8417,0.8289,0.7284,0.3435,0.8466,0.872,0.8466,0.8461,0.8508,0.8761,0.8508,0.8509,0.9508,0.3421,not-balanced,80,50,10,1,2,994,kbest,"['fear', 'trust', 'surprise', 'disgust', 'joy', 'a_score']","{'fear': 0.0006, 'trust': 0.0015, 'surprise': 0.0027, 'disgust': 0.003, 'joy': 0.0023, 'a_score': 0.4285}",KNeighborsClassifier()
KNeighborsClassifier,0.8415,0.8522,0.8415,0.7132,0.3462,0.8466,0.8765,0.8466,0.8452,0.8508,0.8823,0.8508,0.8508,0.9563,0.3489,not-balanced,60,50,10,3,3,499,kbest,"['fear', 'joy', 'a_score']","{'fear': -0.001, 'joy': 0.0019, 'a_score': 0.4246}",KNeighborsClassifier()
KNeighborsClassifier,0.8371,0.8448,0.8371,0.7315,0.3389,0.8484,0.8697,0.8484,0.8481,0.8508,0.8727,0.8508,0.8509,0.9501,0.3406,not-balanced,80,50,10,4,3,782,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0062, 'trust': 0.0035, 'surprise': 0.0037, 'sadness': 0.0076, 'joy': 0.0037, 'a_score': 0.4298}",KNeighborsClassifier()
KNeighborsClassifier,0.8415,0.8522,0.8415,0.7132,0.3462,0.8466,0.8765,0.8466,0.8452,0.8508,0.8823,0.8508,0.8508,0.9563,0.3489,not-balanced,60,50,10,10,2,499,kbest,"['fear', 'joy', 'a_score']","{'fear': -0.0003, 'joy': 0.0012, 'a_score': 0.425}",KNeighborsClassifier()
KNeighborsClassifier,0.8426,0.8426,0.8426,0.7037,0.369,0.8406,0.8245,0.8406,0.8216,0.8507,0.8358,0.8507,0.8335,0.9555,0.3515,not-balanced,50,50,10,3,1,780,kbest,"['trust', 'a_score']","{'trust': 0.0009, 'a_score': 0.3953}",KNeighborsClassifier()
KNeighborsClassifier,0.8402,0.8517,0.8402,0.7489,0.3498,0.8441,0.8345,0.8441,0.8332,0.8505,0.8404,0.8505,0.8397,0.9545,0.3428,not-balanced,80,50,10,4,1,97,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'joy', 'a_score']","{'fear': 0.0041, 'anticipation': 0.0019, 'trust': 0.0051, 'sadness': 0.0045, 'joy': 0.0023, 'a_score': 0.3971}",KNeighborsClassifier()
KNeighborsClassifier,0.8344,0.84,0.8344,0.731,0.3385,0.8492,0.8794,0.8492,0.8498,0.8503,0.8802,0.8503,0.851,0.9562,0.3395,not-balanced,70,50,10,7,1,940,kbest,"['fear', 'trust', 'sadness', 'joy', 'a_score']","{'fear': -0.0001, 'trust': 0.0029, 'sadness': 0.0022, 'joy': 0.0019, 'a_score': 0.4258}",KNeighborsClassifier()
KNeighborsClassifier,0.8468,0.8665,0.8468,0.7322,0.3702,0.8416,0.842,0.8416,0.8107,0.8503,0.8425,0.8503,0.8211,0.9504,0.3516,not-balanced,50,50,10,10,2,499,kbest,"['fear', 'a_score']","{'fear': 0.0015, 'a_score': 0.3813}",KNeighborsClassifier()
KNeighborsClassifier,0.8468,0.8665,0.8468,0.7322,0.3702,0.8416,0.842,0.8416,0.8107,0.8503,0.8425,0.8503,0.8211,0.9504,0.3516,not-balanced,50,50,10,3,3,499,kbest,"['fear', 'a_score']","{'fear': 0.0014, 'a_score': 0.3851}",KNeighborsClassifier()
KNeighborsClassifier,0.8154,0.8299,0.8154,0.7051,0.3545,0.8459,0.8348,0.8459,0.8342,0.8502,0.8392,0.8502,0.8383,0.956,0.3457,not-balanced,80,50,10,10,3,365,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'joy', 'a_score']","{'fear': 0.0038, 'anticipation': 0.0039, 'trust': 0.0035, 'disgust': 0.0005, 'joy': 0.0017, 'a_score': 0.3959}",KNeighborsClassifier()
KNeighborsClassifier,0.835,0.8579,0.835,0.7702,0.3479,0.849,0.8374,0.849,0.8354,0.8502,0.8376,0.8502,0.8366,0.9539,0.346,not-balanced,80,50,10,5,3,688,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0027, 'trust': 0.0044, 'surprise': 0.0036, 'sadness': 0.0061, 'joy': 0.0054, 'a_score': 0.3925}",KNeighborsClassifier()
KNeighborsClassifier,0.8439,0.8462,0.8439,0.7256,0.3544,0.8435,0.8354,0.8435,0.8337,0.8501,0.8415,0.8501,0.8407,0.9432,0.3438,not-balanced,80,50,10,4,2,46,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'joy', 'a_score']","{'fear': 0.005, 'anticipation': 0.0041, 'trust': 0.0023, 'sadness': 0.0049, 'joy': 0.0063, 'a_score': 0.3974}",KNeighborsClassifier()
KNeighborsClassifier,0.8386,0.8572,0.8386,0.7653,0.3511,0.8444,0.8762,0.8444,0.8444,0.85,0.88,0.85,0.8503,0.9555,0.3406,not-balanced,70,50,10,8,1,900,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0029, 'trust': 0.003, 'surprise': 0.0025, 'joy': 0.0026, 'a_score': 0.4334}",KNeighborsClassifier()
KNeighborsClassifier,0.8347,0.8398,0.8347,0.7307,0.3341,0.8502,0.8771,0.8502,0.8508,0.8499,0.8765,0.8499,0.8506,0.9571,0.3391,not-balanced,80,50,10,7,1,940,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.002, 'trust': 0.0048, 'surprise': 0.0028, 'sadness': 0.0027, 'joy': 0.0027, 'a_score': 0.4273}",KNeighborsClassifier()
KNeighborsClassifier,0.8341,0.852,0.8341,0.6919,0.3483,0.8461,0.8679,0.8461,0.8457,0.8499,0.8719,0.8499,0.8502,0.954,0.3422,not-balanced,60,50,10,6,2,191,kbest,"['trust', 'joy', 'a_score']","{'trust': -0.0001, 'joy': -0.0004, 'a_score': 0.4215}",KNeighborsClassifier()
KNeighborsClassifier,0.8335,0.8345,0.8335,0.6556,0.3576,0.8482,0.8298,0.8482,0.8202,0.8498,0.8314,0.8498,0.8219,0.9443,0.354,not-balanced,50,50,10,5,1,509,kbest,"['trust', 'a_score']","{'trust': 0.0017, 'a_score': 0.3803}",KNeighborsClassifier()
KNeighborsClassifier,0.826,0.8402,0.826,0.7139,0.3609,0.8416,0.8305,0.8416,0.8305,0.8493,0.8388,0.8493,0.8391,0.9465,0.344,not-balanced,70,50,10,8,2,21,kbest,"['fear', 'trust', 'sadness', 'joy', 'a_score']","{'fear': 0.0053, 'trust': 0.0014, 'sadness': 0.0043, 'joy': 0.0066, 'a_score': 0.3968}",KNeighborsClassifier()
KNeighborsClassifier,0.8316,0.8377,0.8316,0.7186,0.3489,0.8461,0.8355,0.8461,0.8352,0.8493,0.8393,0.8493,0.8388,0.9216,0.3465,not-balanced,70,50,10,2,1,143,kbest,"['fear', 'trust', 'sadness', 'joy', 'a_score']","{'fear': 0.0024, 'trust': 0.0026, 'sadness': 0.002, 'joy': 0.0039, 'a_score': 0.3958}",KNeighborsClassifier()
KNeighborsClassifier,0.8396,0.8314,0.8396,0.6539,0.3399,0.8491,0.8742,0.8491,0.8494,0.8492,0.8741,0.8492,0.85,0.9465,0.3412,not-balanced,50,50,10,6,2,191,kbest,"['joy', 'a_score']","{'joy': 0.0045, 'a_score': 0.4268}",KNeighborsClassifier()
KNeighborsClassifier,0.8247,0.83,0.8247,0.6602,0.3635,0.8455,0.8281,0.8455,0.828,0.8491,0.834,0.8491,0.8322,0.9481,0.3529,not-balanced,50,50,10,10,3,365,kbest,"['trust', 'a_score']","{'trust': 0.0026, 'a_score': 0.3844}",KNeighborsClassifier()
KNeighborsClassifier,0.8378,0.8433,0.8378,0.7235,0.3325,0.8486,0.8777,0.8486,0.8487,0.8491,0.8777,0.8491,0.8497,0.955,0.3397,not-balanced,70,50,10,4,3,782,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0027, 'trust': 0.0032, 'surprise': 0.0023, 'joy': 0.0033, 'a_score': 0.4353}",KNeighborsClassifier()
KNeighborsClassifier,0.831,0.8482,0.831,0.7237,0.3437,0.8455,0.8648,0.8455,0.8454,0.849,0.8666,0.849,0.8492,0.96,0.3411,not-balanced,60,50,10,8,3,424,kbest,"['trust', 'joy', 'a_score']","{'trust': 0.0, 'joy': 0.0053, 'a_score': 0.4217}",KNeighborsClassifier()
KNeighborsClassifier,0.8386,0.8502,0.8386,0.728,0.3443,0.8453,0.874,0.8453,0.8455,0.8488,0.8758,0.8488,0.8496,0.9283,0.3362,not-balanced,60,50,10,4,3,782,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0026, 'joy': -0.0001, 'a_score': 0.4301}",KNeighborsClassifier()
KNeighborsClassifier,0.8397,0.8479,0.8397,0.7269,0.3397,0.8469,0.8626,0.8469,0.8458,0.8487,0.8655,0.8487,0.8488,0.9567,0.3449,not-balanced,70,50,10,3,3,499,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.002, 'surprise': 0.0012, 'sadness': -0.0023, 'joy': 0.0028, 'a_score': 0.4198}",KNeighborsClassifier()
KNeighborsClassifier,0.8397,0.8479,0.8397,0.7269,0.3397,0.8469,0.8626,0.8469,0.8458,0.8487,0.8655,0.8487,0.8488,0.9567,0.3449,not-balanced,70,50,10,10,2,499,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.002, 'surprise': 0.0004, 'sadness': -0.0035, 'joy': 0.0042, 'a_score': 0.4201}",KNeighborsClassifier()
KNeighborsClassifier,0.8324,0.8415,0.8324,0.6772,0.3723,0.8414,0.823,0.8414,0.8114,0.8483,0.828,0.8483,0.8203,0.9556,0.3562,not-balanced,50,50,10,1,3,343,kbest,"['trust', 'a_score']","{'trust': 0.0014, 'a_score': 0.382}",KNeighborsClassifier()
KNeighborsClassifier,0.8333,0.8409,0.8333,0.7213,0.3566,0.8425,0.8342,0.8425,0.8329,0.8481,0.838,0.8481,0.8382,0.9562,0.3514,not-balanced,80,50,10,1,3,343,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.007, 'trust': 0.0042, 'surprise': 0.0043, 'sadness': 0.0067, 'joy': 0.0009, 'a_score': 0.3958}",KNeighborsClassifier()
KNeighborsClassifier,0.8342,0.837,0.8342,0.6857,0.3595,0.8454,0.8307,0.8454,0.8288,0.8481,0.8346,0.8481,0.8324,0.9416,0.3488,not-balanced,70,50,10,2,3,935,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0024, 'trust': 0.0046, 'surprise': 0.0035, 'sadness': 0.0067, 'a_score': 0.3917}",KNeighborsClassifier()
KNeighborsClassifier,0.8248,0.8321,0.8248,0.6604,0.3668,0.845,0.8265,0.845,0.8268,0.8478,0.831,0.8478,0.8301,0.9469,0.3584,not-balanced,60,50,10,10,3,365,kbest,"['trust', 'joy', 'a_score']","{'trust': 0.0034, 'joy': 0.001, 'a_score': 0.3884}",KNeighborsClassifier()
KNeighborsClassifier,0.8391,0.8607,0.8391,0.7857,0.3481,0.8442,0.8382,0.8442,0.8361,0.8477,0.8402,0.8477,0.8393,0.9546,0.3471,not-balanced,80,50,10,8,1,900,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0056, 'anticipation': 0.0049, 'trust': 0.0041, 'surprise': 0.0024, 'joy': 0.0016, 'a_score': 0.3972}",KNeighborsClassifier()
KNeighborsClassifier,0.816,0.8313,0.816,0.7131,0.3558,0.8451,0.8348,0.8451,0.8345,0.8476,0.8373,0.8476,0.8368,0.9562,0.3501,not-balanced,70,50,10,10,3,365,kbest,"['fear', 'anticipation', 'trust', 'joy', 'a_score']","{'fear': 0.0039, 'anticipation': 0.0039, 'trust': 0.0041, 'joy': 0.0026, 'a_score': 0.3967}",KNeighborsClassifier()
KNeighborsClassifier,0.8367,0.8432,0.8367,0.7176,0.3571,0.8427,0.8601,0.8427,0.843,0.8476,0.8642,0.8476,0.8481,0.9448,0.3465,not-balanced,60,50,10,5,1,509,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0022, 'trust': 0.0042, 'a_score': 0.42}",KNeighborsClassifier()
KNeighborsClassifier,0.8409,0.8396,0.8409,0.6917,0.3576,0.8407,0.8713,0.8407,0.8423,0.8473,0.8741,0.8473,0.8488,0.9585,0.342,not-balanced,60,50,10,6,1,554,kbest,"['fear', 'sadness', 'a_score']","{'fear': 0.0041, 'sadness': 0.0064, 'a_score': 0.426}",KNeighborsClassifier()
KNeighborsClassifier,0.837,0.8538,0.837,0.7574,0.3421,0.8453,0.8387,0.8453,0.8382,0.8473,0.84,0.8473,0.84,0.9465,0.3455,not-balanced,70,50,10,2,2,917,kbest,"['fear', 'trust', 'sadness', 'joy', 'a_score']","{'fear': 0.0049, 'trust': 0.0022, 'sadness': 0.0055, 'joy': 0.0023, 'a_score': 0.3968}",KNeighborsClassifier()
KNeighborsClassifier,0.8276,0.8337,0.8276,0.7126,0.3447,0.8464,0.8337,0.8464,0.8264,0.8471,0.8296,0.8471,0.8265,0.9565,0.3551,not-balanced,70,50,10,9,3,589,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0031, 'trust': 0.0047, 'surprise': 0.0014, 'joy': 0.0048, 'a_score': 0.3852}",KNeighborsClassifier()
KNeighborsClassifier,0.84,0.8451,0.84,0.7417,0.3473,0.8427,0.864,0.8427,0.8431,0.8471,0.8665,0.8471,0.8477,0.9547,0.3391,not-balanced,80,50,10,6,3,706,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0038, 'trust': 0.0022, 'surprise': 0.0029, 'sadness': 0.0042, 'joy': 0.0027, 'a_score': 0.4268}",KNeighborsClassifier()
KNeighborsClassifier,0.8474,0.85,0.8474,0.7237,0.3743,0.8359,0.8188,0.8359,0.8191,0.847,0.8324,0.847,0.8319,0.9436,0.3512,not-balanced,70,50,10,4,2,46,kbest,"['fear', 'anticipation', 'trust', 'joy', 'a_score']","{'fear': 0.0027, 'anticipation': 0.006, 'trust': 0.0044, 'joy': 0.0055, 'a_score': 0.3896}",KNeighborsClassifier()
KNeighborsClassifier,0.8456,0.8594,0.8456,0.7601,0.3534,0.8467,0.871,0.8467,0.8474,0.8469,0.8703,0.8469,0.848,0.9598,0.3472,not-balanced,60,50,10,10,1,599,kbest,"['trust', 'sadness', 'a_score']","{'trust': 0.0032, 'sadness': 0.0004, 'a_score': 0.4198}",KNeighborsClassifier()
KNeighborsClassifier,0.8264,0.8396,0.8264,0.7216,0.3547,0.8416,0.8314,0.8416,0.8315,0.8468,0.8367,0.8468,0.8374,0.9436,0.3433,not-balanced,80,50,10,8,2,21,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.004, 'trust': 0.0041, 'surprise': 0.0021, 'sadness': 0.0027, 'joy': 0.0071, 'a_score': 0.3918}",KNeighborsClassifier()
KNeighborsClassifier,0.8277,0.8431,0.8277,0.7144,0.3548,0.8464,0.8286,0.8464,0.8264,0.8467,0.826,0.8467,0.8263,0.9557,0.3643,not-balanced,60,50,10,9,3,589,kbest,"['surprise', 'joy', 'a_score']","{'surprise': -0.0004, 'joy': -0.0004, 'a_score': 0.3839}",KNeighborsClassifier()
KNeighborsClassifier,0.8324,0.8321,0.8324,0.6779,0.3604,0.8426,0.8308,0.8426,0.8318,0.8467,0.8358,0.8467,0.837,0.9418,0.3494,not-balanced,80,50,10,2,3,935,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.003, 'trust': 0.0068, 'surprise': 0.0041, 'sadness': 0.0046, 'joy': 0.005, 'a_score': 0.3889}",KNeighborsClassifier()
KNeighborsClassifier,0.8429,0.8545,0.8429,0.7481,0.356,0.8427,0.8598,0.8427,0.8432,0.8464,0.8631,0.8464,0.8473,0.9582,0.3452,not-balanced,70,50,10,10,1,599,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0059, 'trust': 0.0039, 'sadness': 0.0037, 'disgust': 0.005, 'a_score': 0.4168}",KNeighborsClassifier()
KNeighborsClassifier,0.8312,0.8445,0.8312,0.7472,0.3572,0.8394,0.8276,0.8394,0.8273,0.8463,0.834,0.8463,0.834,0.9533,0.3483,not-balanced,80,50,10,9,2,69,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0018, 'trust': 0.0038, 'surprise': 0.0025, 'sadness': 0.0042, 'joy': 0.0012, 'a_score': 0.392}",KNeighborsClassifier()
KNeighborsClassifier,0.8316,0.8403,0.8316,0.6759,0.3438,0.8471,0.8653,0.8471,0.8477,0.8459,0.8629,0.8459,0.8469,0.959,0.3485,not-balanced,50,50,10,10,1,599,kbest,"['trust', 'a_score']","{'trust': -0.0053, 'a_score': 0.4129}",KNeighborsClassifier()
KNeighborsClassifier,0.8394,0.8431,0.8394,0.7266,0.3639,0.8384,0.827,0.8384,0.8268,0.8458,0.8351,0.8458,0.8356,0.9578,0.3476,not-balanced,80,50,10,3,1,780,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0059, 'trust': 0.0057, 'surprise': 0.0058, 'sadness': 0.005, 'joy': 0.006, 'a_score': 0.3983}",KNeighborsClassifier()
