Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.9001,0.907,0.9001,0.8891,0.09,0.91,0.9182,0.91,0.9072,0.9094,0.9176,0.9094,0.9065,0.9678,0.0906,not-balanced,70,50,10,4,5,244,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'a_score']","{'fear': 0.0027, 'anticipation': 0.0017, 'trust': 0.0035, 'disgust': 0.0036, 'a_score': 0.349}",KNeighborsClassifier()
KNeighborsClassifier,0.8871,0.897,0.8871,0.8783,0.0907,0.9093,0.9158,0.9093,0.9066,0.9089,0.9157,0.9089,0.9062,0.9496,0.0911,not-balanced,70,50,10,9,5,998,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0028, 'trust': 0.0023, 'surprise': 0.0024, 'disgust': 0.006, 'a_score': 0.3568}",KNeighborsClassifier()
KNeighborsClassifier,0.8938,0.9005,0.8938,0.8842,0.0898,0.9102,0.9166,0.9102,0.9076,0.9074,0.9138,0.9074,0.9047,0.9667,0.0926,not-balanced,70,50,10,8,2,622,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'a_score']","{'fear': 0.0026, 'anticipation': 0.0027, 'trust': 0.0035, 'disgust': 0.0058, 'a_score': 0.3563}",KNeighborsClassifier()
KNeighborsClassifier,0.9031,0.9085,0.9031,0.8916,0.0953,0.9047,0.913,0.9047,0.9017,0.9072,0.9142,0.9072,0.9044,0.9583,0.0928,not-balanced,70,50,10,10,3,67,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0032, 'trust': 0.0028, 'sadness': 0.0027, 'disgust': 0.0028, 'a_score': 0.3568}",KNeighborsClassifier()
KNeighborsClassifier,0.8998,0.9066,0.8998,0.8896,0.0956,0.9044,0.9138,0.9044,0.901,0.907,0.9147,0.907,0.9041,0.9674,0.093,not-balanced,70,50,10,8,3,957,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.004, 'trust': 0.0023, 'sadness': 0.0048, 'disgust': 0.0021, 'a_score': 0.3581}",KNeighborsClassifier()
KNeighborsClassifier,0.8946,0.9012,0.8946,0.8844,0.0929,0.9071,0.9125,0.9071,0.9045,0.9069,0.9123,0.9069,0.9043,0.9544,0.0931,not-balanced,70,50,10,10,2,74,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0055, 'trust': 0.0024, 'sadness': 0.0029, 'disgust': 0.0043, 'a_score': 0.3569}",KNeighborsClassifier()
KNeighborsClassifier,0.8973,0.9062,0.8973,0.8881,0.0969,0.9031,0.91,0.9031,0.9002,0.9065,0.9125,0.9065,0.9039,0.967,0.0935,not-balanced,70,50,10,1,2,915,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0034, 'trust': 0.0018, 'surprise': 0.0034, 'disgust': 0.0018, 'a_score': 0.359}",KNeighborsClassifier()
KNeighborsClassifier,0.899,0.9046,0.899,0.8881,0.0937,0.9063,0.9123,0.9063,0.9037,0.9057,0.9109,0.9057,0.9032,0.9565,0.0943,not-balanced,70,50,10,3,5,861,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0026, 'trust': 0.0035, 'surprise': 0.0017, 'disgust': 0.0014, 'a_score': 0.3554}",KNeighborsClassifier()
KNeighborsClassifier,0.8954,0.9031,0.8954,0.8856,0.0894,0.9106,0.917,0.9106,0.908,0.9055,0.9112,0.9055,0.9029,0.9694,0.0945,not-balanced,70,50,10,7,5,206,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0023, 'trust': 0.0038, 'surprise': 0.0036, 'disgust': 0.0016, 'a_score': 0.3582}",KNeighborsClassifier()
KNeighborsClassifier,0.8866,0.8973,0.8866,0.8782,0.0952,0.9048,0.9096,0.9048,0.9024,0.9052,0.9098,0.9052,0.9028,0.9667,0.0948,not-balanced,70,50,10,9,1,874,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0062, 'trust': 0.0041, 'sadness': 0.0047, 'disgust': 0.007, 'a_score': 0.3557}",KNeighborsClassifier()
