Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.6007,0.6248,0.6007,0.5826,0.349,0.651,0.6543,0.651,0.6497,0.651,0.6539,0.651,0.6496,0.6687,0.349,not-balanced,70,100,10,3,1,137,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'a_score']","{'fear': 0.005, 'anticipation': 0.0173, 'trust': 0.0219, 'sadness': 0.0028, 'a_score': 0.1482}",MLPClassifier()
MLPClassifier,0.546,0.5575,0.546,0.5302,0.3491,0.6509,0.6512,0.6509,0.6508,0.6502,0.6503,0.6502,0.65,0.6657,0.3498,not-balanced,70,100,10,5,4,701,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'a_score']","{'fear': 0.0027, 'anticipation': 0.0201, 'trust': 0.0221, 'sadness': 0.0005, 'a_score': 0.143}",MLPClassifier()
MLPClassifier,0.5262,0.5286,0.5262,0.5125,0.3509,0.6491,0.6501,0.6491,0.6487,0.6498,0.6504,0.6498,0.6493,0.6646,0.3502,not-balanced,50,100,10,1,2,797,kbest,"['trust', 'a_score']","{'trust': 0.0086, 'a_score': 0.1492}",MLPClassifier()
MLPClassifier,0.5727,0.5539,0.5727,0.5492,0.3555,0.6445,0.6455,0.6445,0.6437,0.6495,0.6505,0.6495,0.6487,0.6357,0.3505,not-balanced,50,100,10,9,3,966,kbest,"['fear', 'a_score']","{'fear': 0.004, 'a_score': 0.1476}",MLPClassifier()
MLPClassifier,0.5683,0.5725,0.5683,0.5553,0.3521,0.6479,0.6486,0.6479,0.6472,0.6491,0.6499,0.6491,0.6484,0.6676,0.3509,not-balanced,80,100,10,8,2,796,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': -0.0006, 'anticipation': 0.0022, 'trust': 0.0111, 'sadness': -0.0004, 'disgust': -0.0005, 'a_score': 0.1417}",MLPClassifier()
MLPClassifier,0.545,0.5468,0.545,0.5375,0.3536,0.6464,0.647,0.6464,0.6457,0.649,0.65,0.649,0.6482,0.6769,0.351,not-balanced,80,100,10,6,5,140,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0011, 'anticipation': 0.0205, 'trust': 0.0223, 'sadness': 0.0009, 'disgust': 0.0024, 'a_score': 0.146}",MLPClassifier()
MLPClassifier,0.5808,0.5858,0.5808,0.5713,0.3552,0.6448,0.6453,0.6448,0.6441,0.6481,0.6489,0.6481,0.6474,0.6644,0.3519,not-balanced,70,100,10,7,4,353,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': -0.0015, 'trust': 0.0095, 'sadness': -0.0015, 'disgust': -0.0011, 'a_score': 0.1403}",MLPClassifier()
MLPClassifier,0.6047,0.6158,0.6047,0.5985,0.3552,0.6448,0.6473,0.6448,0.6429,0.6476,0.6505,0.6476,0.6457,0.6997,0.3524,not-balanced,80,100,10,10,5,229,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': -0.0039, 'anticipation': 0.0085, 'trust': 0.0157, 'sadness': 0.0016, 'disgust': 0.0019, 'a_score': 0.141}",MLPClassifier()
MLPClassifier,0.5561,0.558,0.5561,0.5482,0.351,0.649,0.6493,0.649,0.6487,0.6471,0.6474,0.6471,0.6468,0.676,0.3529,not-balanced,80,100,10,4,1,247,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'joy', 'a_score']","{'fear': 0.0001, 'anticipation': 0.0079, 'trust': 0.0213, 'disgust': 0.0004, 'joy': 0.0151, 'a_score': 0.1445}",MLPClassifier()
MLPClassifier,0.5685,0.5819,0.5685,0.5533,0.3553,0.6447,0.6472,0.6447,0.6432,0.6471,0.649,0.6471,0.6457,0.6687,0.3529,not-balanced,70,100,10,2,4,147,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'a_score']","{'fear': -0.0003, 'anticipation': 0.0052, 'trust': 0.0144, 'surprise': 0.004, 'a_score': 0.1413}",MLPClassifier()
