Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.7549,0.6456,0.7549,0.4431,0.7952,0.6323,0.7952,0.7045,0.4606,0.4473,0.4606,0.2994,0.5067,not-balanced,80,10,kbest,"['fear', 'anticipation', 'sadness', 'disgust', 'joy']","{'fear': 0.0075, 'anticipation': 0.0108, 'sadness': 0.007, 'disgust': 0.0047, 'joy': 0.0072}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7663,0.6622,0.7663,0.447,0.7289,0.5351,0.7289,0.6172,0.4606,0.4567,0.4606,0.2993,0.4543,not-balanced,70,10,kbest,"['fear', 'anger', 'anticipation', 'sadness']","{'fear': 0.0064, 'anger': 0.0051, 'anticipation': 0.0059, 'sadness': 0.0082}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7623,0.5919,0.7623,0.4336,0.7741,0.5992,0.7741,0.6755,0.4601,0.6831,0.4601,0.291,0.5007,not-balanced,60,10,kbest,"['anger', 'sadness']","{'anger': 0.0007, 'sadness': 0.0006}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7593,0.6206,0.7593,0.4394,0.756,0.596,0.756,0.6665,0.4601,0.461,0.4601,0.2962,0.4831,not-balanced,70,10,kbest,"['fear', 'anger', 'sadness', 'disgust']","{'fear': 0.0056, 'anger': 0.0037, 'sadness': 0.0086, 'disgust': 0.0029}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7549,0.623,0.7549,0.4393,0.753,0.5831,0.753,0.6573,0.4601,0.4408,0.4601,0.3026,0.4829,not-balanced,80,10,kbest,"['fear', 'trust', 'sadness', 'disgust', 'joy']","{'fear': 0.0169, 'trust': 0.0117, 'sadness': 0.0125, 'disgust': 0.0079, 'joy': 0.0078}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7603,0.6329,0.7603,0.442,0.7289,0.6255,0.7289,0.6226,0.4601,0.4471,0.4601,0.3012,0.4877,not-balanced,80,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'sadness']","{'fear': 0.009, 'anger': 0.008, 'anticipation': 0.0063, 'trust': 0.0058, 'sadness': 0.0088}",DecisionTreeClassifier()
DecisionTreeClassifier,0.764,0.6061,0.764,0.4357,0.7651,0.5853,0.7651,0.6632,0.4593,0.3998,0.4593,0.2907,0.4874,not-balanced,60,10,kbest,"['fear', 'sadness']","{'fear': 0.0007, 'sadness': 0.0011}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7656,0.5866,0.7656,0.4336,0.7651,0.5853,0.7651,0.6632,0.4593,0.211,0.4593,0.2891,0.5109,not-balanced,50,10,kbest,['fear'],{'fear': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.7623,0.5817,0.7623,0.4324,0.7952,0.6323,0.7952,0.7045,0.4593,0.211,0.4593,0.2891,0.5123,not-balanced,50,10,kbest,['fear'],{'fear': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.7626,0.5821,0.7626,0.4326,0.7922,0.6275,0.7922,0.7003,0.4593,0.211,0.4593,0.2891,0.5148,not-balanced,50,10,kbest,['fear'],{'fear': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.7586,0.5902,0.7586,0.4325,0.7922,0.6275,0.7922,0.7003,0.4593,0.3998,0.4593,0.2907,0.5128,not-balanced,60,10,kbest,"['fear', 'sadness']","{'fear': 0.0004, 'sadness': 0.001}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7671,0.5886,0.7671,0.4341,0.7523,0.5659,0.7523,0.6459,0.4593,0.211,0.4593,0.2891,0.5116,not-balanced,50,10,kbest,['joy'],{'joy': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.765,0.5857,0.765,0.4333,0.7711,0.5946,0.7711,0.6714,0.4593,0.211,0.4593,0.2891,0.506,not-balanced,50,10,kbest,['joy'],{'joy': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.7647,0.5853,0.7647,0.4332,0.7741,0.5992,0.7741,0.6755,0.4593,0.211,0.4593,0.2891,0.4977,not-balanced,50,10,kbest,['sadness'],{'sadness': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.7643,0.5944,0.7643,0.4343,0.7711,0.5946,0.7711,0.6714,0.4593,0.211,0.4593,0.2891,0.5068,not-balanced,60,10,kbest,"['anticipation', 'joy']","{'anticipation': 0.0005, 'joy': 0.0}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7677,0.5901,0.7677,0.4341,0.747,0.558,0.747,0.6388,0.4593,0.211,0.4593,0.2891,0.5184,not-balanced,50,10,kbest,['joy'],{'joy': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.7663,0.5874,0.7663,0.4338,0.759,0.5761,0.759,0.6551,0.4593,0.211,0.4593,0.2891,0.5122,not-balanced,50,10,kbest,['fear'],{'fear': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.764,0.592,0.764,0.4343,0.7681,0.5899,0.7681,0.6673,0.4593,0.3998,0.4593,0.2907,0.481,not-balanced,60,10,kbest,"['fear', 'sadness']","{'fear': 0.0011, 'sadness': 0.0011}",DecisionTreeClassifier()
DecisionTreeClassifier,0.768,0.592,0.768,0.4343,0.7319,0.5357,0.7319,0.6186,0.4593,0.3998,0.4593,0.2907,0.4775,not-balanced,60,10,kbest,"['fear', 'sadness']","{'fear': 0.0007, 'sadness': 0.0011}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7693,0.5926,0.7693,0.4347,0.7319,0.5357,0.7319,0.6186,0.4593,0.211,0.4593,0.2891,0.5103,not-balanced,50,10,kbest,['fear'],{'fear': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.766,0.5897,0.766,0.4336,0.747,0.558,0.747,0.6388,0.4593,0.211,0.4593,0.2891,0.5228,not-balanced,60,10,kbest,"['fear', 'joy']","{'fear': 0.0, 'joy': 0.0}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7653,0.5866,0.7653,0.4334,0.7681,0.5899,0.7681,0.6673,0.4593,0.211,0.4593,0.2891,0.5089,not-balanced,50,10,kbest,['fear'],{'fear': 0.0},DecisionTreeClassifier()
DecisionTreeClassifier,0.7613,0.5813,0.7613,0.4322,0.7892,0.6313,0.7892,0.7015,0.4589,0.2109,0.4589,0.2889,0.496,not-balanced,60,10,kbest,"['fear', 'anticipation']","{'fear': 0.0004, 'anticipation': 0.001}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7671,0.5889,0.7671,0.434,0.7523,0.5659,0.7523,0.6459,0.4589,0.3682,0.4589,0.2897,0.511,not-balanced,60,10,kbest,"['anticipation', 'joy']","{'anticipation': 0.0009, 'joy': 0.0005}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7504,0.642,0.7504,0.4547,0.7372,0.6341,0.7372,0.6532,0.4589,0.4319,0.4589,0.3101,0.5059,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0194, 'anger': 0.0087, 'anticipation': 0.0145, 'trust': 0.0149, 'surprise': 0.0181, 'sadness': 0.0207, 'disgust': 0.0112, 'joy': 0.0194}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7569,0.6535,0.7569,0.4511,0.7199,0.5768,0.7199,0.6302,0.4585,0.4198,0.4585,0.3108,0.5022,not-balanced,80,10,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'joy']","{'fear': 0.0108, 'anticipation': 0.0165, 'trust': 0.0168, 'sadness': 0.0119, 'joy': 0.0151}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7419,0.6137,0.7419,0.4405,0.759,0.699,0.759,0.6658,0.4585,0.4213,0.4585,0.3094,0.4803,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0212, 'anger': 0.0117, 'anticipation': 0.0162, 'trust': 0.0176, 'surprise': 0.0181, 'sadness': 0.0214, 'disgust': 0.0141, 'joy': 0.0194}",DecisionTreeClassifier()
DecisionTreeClassifier,0.764,0.5951,0.764,0.4363,0.753,0.575,0.753,0.6521,0.4585,0.3794,0.4585,0.2926,0.4903,not-balanced,60,10,kbest,"['fear', 'sadness']","{'fear': 0.0097, 'sadness': 0.0076}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7624,0.6207,0.7624,0.4378,0.7402,0.5636,0.7402,0.6399,0.4585,0.4152,0.4585,0.2983,0.4617,not-balanced,70,10,kbest,"['fear', 'anticipation', 'trust', 'joy']","{'fear': 0.0034, 'anticipation': 0.009, 'trust': 0.0077, 'joy': 0.0084}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7472,0.6394,0.7472,0.4523,0.759,0.6807,0.759,0.6891,0.4576,0.4232,0.4576,0.3141,0.5262,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0163, 'anger': 0.0133, 'anticipation': 0.0146, 'trust': 0.02, 'surprise': 0.0173, 'sadness': 0.0225, 'disgust': 0.0135, 'joy': 0.016}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7547,0.6303,0.7547,0.44,0.7372,0.5996,0.7372,0.6436,0.4572,0.4048,0.4572,0.3034,0.4933,not-balanced,80,10,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'joy']","{'fear': 0.01, 'anticipation': 0.0088, 'trust': 0.0128, 'sadness': 0.01, 'joy': 0.0104}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7492,0.6236,0.7492,0.4398,0.7831,0.6882,0.7831,0.7061,0.4563,0.391,0.4563,0.3009,0.5062,not-balanced,80,10,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'joy']","{'fear': 0.0101, 'anticipation': 0.0114, 'trust': 0.0119, 'sadness': 0.0111, 'joy': 0.0093}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7546,0.6273,0.7546,0.44,0.756,0.6258,0.756,0.6691,0.4563,0.3953,0.4563,0.3023,0.4957,not-balanced,80,10,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'joy']","{'fear': 0.0068, 'anticipation': 0.01, 'trust': 0.0145, 'sadness': 0.0123, 'joy': 0.0085}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7506,0.6544,0.7506,0.461,0.7108,0.6225,0.7108,0.6353,0.4559,0.408,0.4559,0.3147,0.5043,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0226, 'anger': 0.0113, 'anticipation': 0.0186, 'trust': 0.0166, 'surprise': 0.0161, 'sadness': 0.022, 'disgust': 0.0109, 'joy': 0.0174}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7436,0.6334,0.7436,0.4512,0.753,0.6443,0.753,0.6674,0.4555,0.4,0.4555,0.3107,0.4997,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0211, 'anger': 0.02, 'anticipation': 0.0161, 'trust': 0.0175, 'surprise': 0.0135, 'sadness': 0.0195, 'disgust': 0.0114, 'joy': 0.0171}",DecisionTreeClassifier()
