Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
RandomForestClassifier;0.8789;0.8803;0.8789;0.8732;0.9597;(1, 2);TF-IDF;over;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8789;0.881;0.8789;0.8765;0.9562;(1, 2);TF-IDF;over;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8787;0.8802;0.8787;0.875;0.9587;(1, 2);TF-IDF;mixed;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8776;0.8789;0.8776;0.8699;0.9597;(1, 2);TF-IDF;smote;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8767;0.8786;0.8767;0.8703;0.9578;(1, 2);TF-IDF;over;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8744;0.8763;0.8744;0.8699;0.9558;(1, 2);TF-IDF;under;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8742;0.8757;0.8742;0.8657;0.9536;(1, 2);TF-IDF;mixed;10;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8736;0.8755;0.8736;0.872;0.9555;(1, 2);TF-IDF;under;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.871;0.8721;0.871;0.8675;0.9515;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8697;0.8713;0.8697;0.8642;0.9499;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8691;0.87;0.8691;0.8604;0.9473;(1, 2);TF-IDF;mixed;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8678;0.8684;0.8678;0.8585;0.9503;(1, 2);TF-IDF;mixed;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8665;0.8675;0.8665;0.8609;0.9509;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8648;0.866;0.8648;0.8604;0.9497;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8647;0.8662;0.8647;0.857;0.9452;(1, 2);TF-IDF;under;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8642;0.8658;0.8642;0.8588;0.9429;(1, 2);TF-IDF;under;10;5;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8641;0.8658;0.8641;0.863;0.9505;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.864;0.8662;0.864;0.8584;0.9516;(1, 2);TF-IDF;over;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8637;0.8656;0.8637;0.8551;0.9514;(1, 2);TF-IDF;under;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8635;0.8649;0.8635;0.8568;0.9478;(1, 2);TF-IDF;smote;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8629;0.8641;0.8629;0.8573;0.9483;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8629;0.8643;0.8629;0.8556;0.9448;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8628;0.8641;0.8628;0.8563;0.9512;(1, 2);TF-IDF;smote;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8626;0.8646;0.8626;0.8584;0.9484;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8626;0.8639;0.8626;0.8569;0.9463;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8626;0.8636;0.8626;0.8571;0.9484;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8619;0.8633;0.8619;0.8522;0.9458;(1, 2);TF-IDF;under;10;5;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8618;0.8626;0.8618;0.854;0.9508;(1, 2);TF-IDF;smote;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
