Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
DecisionTreeClassifier;0.7458;0.75;0.7458;0.7201;0.8615;(1, 2);TF-IDF;smote;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7456;0.7524;0.7456;0.7203;0.8602;(1, 2);TF-IDF;smote;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7456;0.7533;0.7456;0.714;0.858;(1, 2);TF-IDF;mixed;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7454;0.7511;0.7454;0.7173;0.8648;(1, 2);TF-IDF;smote;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7454;0.7473;0.7454;0.714;0.8638;(1, 2);TF-IDF;under;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7447;0.7506;0.7447;0.7125;0.8539;(1, 2);TF-IDF;over;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7445;0.7478;0.7445;0.7174;0.858;(1, 2);TF-IDF;under;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7445;0.7519;0.7445;0.7176;0.8543;(1, 2);TF-IDF;over;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7441;0.7512;0.7441;0.7114;0.8532;(1, 2);TF-IDF;over;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7435;0.7486;0.7435;0.7208;0.8657;(1, 2);TF-IDF;under;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7433;0.7515;0.7433;0.7107;0.8519;(1, 2);TF-IDF;smote;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7426;0.7472;0.7426;0.7126;0.864;(1, 2);TF-IDF;over;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7422;0.7486;0.7422;0.7111;0.853;(1, 2);TF-IDF;mixed;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7422;0.7483;0.7422;0.7122;0.8582;(1, 2);TF-IDF;mixed;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7419;0.7479;0.7419;0.7143;0.8628;(1, 2);TF-IDF;mixed;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7419;0.7491;0.7419;0.7118;0.853;(1, 2);TF-IDF;mixed;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7418;0.7445;0.7418;0.7139;0.8611;(1, 2);TF-IDF;mixed;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7416;0.7472;0.7416;0.7101;0.8507;(1, 2);TF-IDF;mixed;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7409;0.7477;0.7409;0.7138;0.8633;(1, 2);TF-IDF;over;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7409;0.745;0.7409;0.7104;0.8585;(1, 2);TF-IDF;under;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7408;0.7492;0.7408;0.7095;0.8542;(1, 2);TF-IDF;under;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7405;0.7446;0.7405;0.7041;0.8558;(1, 2);TF-IDF;under;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
