Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
MultinomialNB;0.8828;0.8866;0.8828;0.8783;0.9773;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8811;0.8888;0.8811;0.8644;0.9576;(1, 2);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8806;0.8842;0.8806;0.8774;0.9763;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8802;0.8856;0.8802;0.8733;0.9729;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8798;0.8845;0.8798;0.8746;0.9722;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8791;0.8828;0.8791;0.8769;0.9758;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8789;0.8852;0.8789;0.8672;0.9643;(1, 2);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8774;0.8826;0.8774;0.8725;0.9725;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8774;0.8822;0.8774;0.8729;0.9736;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8767;0.8842;0.8767;0.8656;0.9559;(1, 2);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.874;0.8784;0.874;0.8707;0.9752;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.874;0.8783;0.874;0.8704;0.9738;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8716;0.8762;0.8716;0.8662;0.9728;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8715;0.8794;0.8715;0.8633;0.9578;(1, 2);TF-IDF;over;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8686;0.8756;0.8686;0.858;0.9543;(1, 2);TF-IDF;under;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8679;0.8728;0.8679;0.8603;0.9637;(1, 2);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8678;0.8758;0.8678;0.8541;0.9619;(1, 2);TF-IDF;under;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8673;0.8767;0.8673;0.8518;0.9531;(1, 2);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8647;0.8741;0.8647;0.853;0.9473;(1, 2);TF-IDF;under;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.863;0.8813;0.863;0.859;0.9437;(1, 2);TF-IDF;over;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8614;0.8804;0.8614;0.8551;0.9425;(1, 2);TF-IDF;smote;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8603;0.8661;0.8603;0.8442;0.9527;(1, 1);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8601;0.8662;0.8601;0.8565;0.958;(1, 2);TF-IDF;over;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8599;0.8661;0.8599;0.84;0.9538;(1, 1);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8599;0.878;0.8599;0.8566;0.9482;(1, 2);TF-IDF;smote;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8599;0.8672;0.8599;0.8496;0.9565;(1, 2);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8599;0.8652;0.8599;0.8446;0.9545;(1, 1);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8587;0.8664;0.8587;0.8434;0.9523;(1, 2);TF-IDF;over;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8581;0.879;0.8581;0.856;0.9412;(1, 2);TF-IDF;over;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8571;0.8739;0.8571;0.8517;0.9463;(1, 2);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8558;0.878;0.8558;0.8543;0.9442;(1, 2);TF-IDF;over;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8558;0.871;0.8558;0.8518;0.9471;(1, 2);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8558;0.8621;0.8558;0.8483;0.9591;(1, 2);TF-IDF;under;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8541;0.8697;0.8541;0.8526;0.9439;(1, 2);TF-IDF;under;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.854;0.859;0.854;0.8375;0.9505;(1, 1);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8538;0.8748;0.8538;0.8547;0.9409;(1, 2);TF-IDF;under;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8521;0.8729;0.8521;0.8527;0.945;(1, 2);TF-IDF;smote;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.852;0.8566;0.852;0.8319;0.9491;(1, 1);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8519;0.8668;0.8519;0.8509;0.9451;(1, 2);TF-IDF;over;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8513;0.8706;0.8513;0.8508;0.9424;(1, 2);TF-IDF;under;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.851;0.8738;0.851;0.8379;0.9335;(1, 2);TF-IDF;over;20;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8507;0.8726;0.8507;0.841;0.9282;(1, 2);TF-IDF;smote;20;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8501;0.8574;0.8501;0.8314;0.949;(1, 1);TF-IDF;under;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8498;0.865;0.8498;0.8469;0.9454;(1, 2);TF-IDF;under;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8498;0.8573;0.8498;0.8345;0.9529;(1, 1);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8494;0.8637;0.8494;0.8458;0.9416;(1, 2);TF-IDF;under;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8491;0.8619;0.8491;0.8487;0.9465;(1, 2);TF-IDF;smote;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
