Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9134,0.9196,0.9134,0.9018,0.9146,0.9211,0.9146,0.9122,0.917,0.9239,0.917,0.9146,0.9686,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0041, 'anger': 0.0033, 'anticipation': 0.0041, 'trust': 0.0054, 'surprise': 0.0047, 'sadness': 0.0057, 'disgust': 0.0041, 'joy': 0.0049, 'a_score': 0.3632}",DecisionTreeClassifier()
RandomForestClassifier,0.9131,0.9187,0.9131,0.9016,0.9134,0.9201,0.9134,0.911,0.9169,0.9234,0.9169,0.9145,0.9744,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0033, 'anticipation': 0.0046, 'trust': 0.0057, 'surprise': 0.0048, 'sadness': 0.0051, 'disgust': 0.0046, 'joy': 0.0046, 'a_score': 0.3646}",RandomForestClassifier()
KNeighborsClassifier,0.8923,0.8968,0.8923,0.88,0.8972,0.8997,0.8972,0.8949,0.8977,0.9008,0.8977,0.8954,0.9343,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0042, 'anger': 0.0048, 'anticipation': 0.0053, 'trust': 0.0053, 'surprise': 0.0061, 'sadness': 0.0038, 'disgust': 0.0075, 'joy': 0.0047, 'a_score': 0.3462}",KNeighborsClassifier()
MLPClassifier,0.8614,0.8768,0.8614,0.8376,0.866,0.883,0.866,0.859,0.8653,0.8825,0.8653,0.8578,0.9348,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0012, 'anger': 0.001, 'anticipation': 0.0015, 'trust': 0.0017, 'surprise': 0.0014, 'sadness': 0.0003, 'disgust': 0.0039, 'joy': 0.0013, 'a_score': 0.2934}",MLPClassifier()
SVC,0.8463,0.8591,0.8463,0.8205,0.8634,0.883,0.8634,0.8549,0.8607,0.8811,0.8607,0.8521,0.8769,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0031, 'anger': 0.0005, 'anticipation': 0.0036, 'trust': 0.0038, 'surprise': 0.0028, 'sadness': 0.0027, 'disgust': 0.0008, 'joy': 0.0009, 'a_score': 0.2914}",SVC(probability=True)
LogisticRegression,0.7805,0.7807,0.7805,0.7632,0.7864,0.786,0.7864,0.7862,0.7811,0.7816,0.7811,0.7813,0.8219,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0026, 'anger': -0.0, 'anticipation': -0.003, 'trust': -0.001, 'surprise': -0.0014, 'sadness': 0.0, 'disgust': -0.0028, 'joy': -0.0003, 'a_score': 0.2406}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
GaussianNB,0.7661,0.7654,0.7661,0.7471,0.763,0.7625,0.763,0.7627,0.7614,0.7612,0.7614,0.7613,0.8173,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0007, 'anger': -0.0009, 'anticipation': 0.0002, 'trust': 0.0011, 'surprise': -0.0007, 'sadness': -0.0002, 'disgust': -0.0005, 'joy': -0.0004, 'a_score': 0.2234}",GaussianNB()
