Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8516,0.8696,0.8516,0.7896,0.8528,0.8699,0.8528,0.8524,0.8545,0.8726,0.8545,0.8542,0.9631,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0112, 'anger': 0.006, 'anticipation': 0.0094, 'trust': 0.0109, 'surprise': 0.0078, 'sadness': 0.0098, 'disgust': 0.0069, 'joy': 0.0114, 'a_score': 0.4398}",RandomForestClassifier()
RandomForestClassifier,0.8526,0.8713,0.8526,0.7918,0.8531,0.8707,0.8531,0.8529,0.8545,0.8735,0.8545,0.8543,0.9636,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0119, 'anger': 0.0053, 'anticipation': 0.0082, 'trust': 0.0103, 'surprise': 0.0074, 'sadness': 0.0109, 'disgust': 0.007, 'joy': 0.0105, 'a_score': 0.441}",RandomForestClassifier()
RandomForestClassifier,0.8523,0.8707,0.8523,0.7912,0.8541,0.8718,0.8541,0.8539,0.8545,0.8737,0.8545,0.8543,0.9628,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0111, 'anger': 0.0057, 'anticipation': 0.009, 'trust': 0.0103, 'surprise': 0.0085, 'sadness': 0.0093, 'disgust': 0.0062, 'joy': 0.0115, 'a_score': 0.4412}",RandomForestClassifier()
RandomForestClassifier,0.8517,0.8697,0.8517,0.7894,0.8534,0.8692,0.8534,0.8529,0.8545,0.8709,0.8545,0.854,0.9635,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0118, 'anger': 0.006, 'anticipation': 0.0092, 'trust': 0.0113, 'surprise': 0.0076, 'sadness': 0.0101, 'disgust': 0.0068, 'joy': 0.0111, 'a_score': 0.44}",RandomForestClassifier()
DecisionTreeClassifier,0.8509,0.8685,0.8509,0.7926,0.85,0.8691,0.85,0.8503,0.8545,0.8729,0.8545,0.8547,0.9501,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0134, 'anger': 0.0083, 'anticipation': 0.0098, 'trust': 0.01, 'surprise': 0.0117, 'sadness': 0.0122, 'disgust': 0.0074, 'joy': 0.014, 'a_score': 0.4439}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8506,0.8676,0.8506,0.791,0.85,0.8691,0.85,0.8505,0.8543,0.8723,0.8543,0.8545,0.952,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.013, 'anger': 0.0081, 'anticipation': 0.0106, 'trust': 0.0103, 'surprise': 0.0099, 'sadness': 0.0142, 'disgust': 0.0068, 'joy': 0.0138, 'a_score': 0.4411}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8509,0.8674,0.8509,0.7919,0.8509,0.8704,0.8509,0.8513,0.8542,0.873,0.8542,0.8545,0.951,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0133, 'anger': 0.0079, 'anticipation': 0.0106, 'trust': 0.0103, 'surprise': 0.0104, 'sadness': 0.0142, 'disgust': 0.007, 'joy': 0.0139, 'a_score': 0.4454}",DecisionTreeClassifier()
RandomForestClassifier,0.8528,0.871,0.8528,0.7929,0.8542,0.8723,0.8542,0.8539,0.8542,0.8734,0.8542,0.854,0.9633,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0124, 'anger': 0.0067, 'anticipation': 0.0086, 'trust': 0.0101, 'surprise': 0.0068, 'sadness': 0.0098, 'disgust': 0.0071, 'joy': 0.0114, 'a_score': 0.4383}",RandomForestClassifier()
RandomForestClassifier,0.853,0.8716,0.853,0.7914,0.8537,0.8715,0.8537,0.8534,0.8542,0.8731,0.8542,0.854,0.9637,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0128, 'anger': 0.0066, 'anticipation': 0.0088, 'trust': 0.0114, 'surprise': 0.0088, 'sadness': 0.0103, 'disgust': 0.0064, 'joy': 0.012, 'a_score': 0.4429}",RandomForestClassifier()
DecisionTreeClassifier,0.8505,0.8686,0.8505,0.7907,0.8489,0.8664,0.8489,0.8492,0.8535,0.8711,0.8535,0.8536,0.9512,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0142, 'anger': 0.0078, 'anticipation': 0.0111, 'trust': 0.0102, 'surprise': 0.0109, 'sadness': 0.013, 'disgust': 0.0066, 'joy': 0.0112, 'a_score': 0.4417}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8478,0.863,0.8478,0.7843,0.8499,0.8632,0.8499,0.8497,0.8533,0.8669,0.8533,0.8531,0.9499,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0148, 'anger': 0.0087, 'anticipation': 0.0106, 'trust': 0.012, 'surprise': 0.0104, 'sadness': 0.0144, 'disgust': 0.0075, 'joy': 0.0125, 'a_score': 0.44}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8481,0.8655,0.8481,0.7876,0.8479,0.8675,0.8479,0.8483,0.853,0.8723,0.853,0.8533,0.9496,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0141, 'anger': 0.0076, 'anticipation': 0.0096, 'trust': 0.0112, 'surprise': 0.0116, 'sadness': 0.0135, 'disgust': 0.0075, 'joy': 0.0133, 'a_score': 0.4443}",DecisionTreeClassifier()
RandomForestClassifier,0.8494,0.8661,0.8494,0.7856,0.8534,0.8677,0.8534,0.8528,0.8528,0.8679,0.8528,0.8524,0.9629,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0121, 'anger': 0.0053, 'anticipation': 0.0085, 'trust': 0.0109, 'surprise': 0.0062, 'sadness': 0.0109, 'disgust': 0.0061, 'joy': 0.0108, 'a_score': 0.4383}",RandomForestClassifier()
RandomForestClassifier,0.8515,0.8687,0.8515,0.7878,0.8523,0.8692,0.8523,0.8519,0.8528,0.8712,0.8528,0.8526,0.9633,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0115, 'anger': 0.0069, 'anticipation': 0.0093, 'trust': 0.012, 'surprise': 0.0088, 'sadness': 0.0107, 'disgust': 0.0066, 'joy': 0.0108, 'a_score': 0.4408}",RandomForestClassifier()
RandomForestClassifier,0.8482,0.8608,0.8482,0.7667,0.8527,0.8691,0.8527,0.8524,0.8528,0.8705,0.8528,0.8526,0.9629,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0057, 'anticipation': 0.0091, 'trust': 0.0121, 'surprise': 0.0078, 'sadness': 0.0119, 'disgust': 0.0071, 'joy': 0.0117, 'a_score': 0.44}",RandomForestClassifier()
DecisionTreeClassifier,0.8523,0.8711,0.8523,0.7966,0.8483,0.867,0.8483,0.8488,0.8526,0.8713,0.8526,0.8529,0.952,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0146, 'anger': 0.0087, 'anticipation': 0.0096, 'trust': 0.0103, 'surprise': 0.012, 'sadness': 0.0112, 'disgust': 0.0078, 'joy': 0.012, 'a_score': 0.4459}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8501,0.8657,0.8501,0.7893,0.8504,0.8661,0.8504,0.8506,0.8525,0.8683,0.8525,0.8527,0.9513,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0149, 'anger': 0.0093, 'anticipation': 0.0103, 'trust': 0.0127, 'surprise': 0.0103, 'sadness': 0.0118, 'disgust': 0.0075, 'joy': 0.0116, 'a_score': 0.4418}",DecisionTreeClassifier()
RandomForestClassifier,0.848,0.8639,0.848,0.7743,0.8513,0.8669,0.8513,0.851,0.8523,0.8693,0.8523,0.8522,0.9621,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0118, 'anger': 0.0061, 'anticipation': 0.0087, 'trust': 0.0106, 'surprise': 0.0074, 'sadness': 0.0097, 'disgust': 0.0073, 'joy': 0.0122, 'a_score': 0.4414}",RandomForestClassifier()
DecisionTreeClassifier,0.8491,0.8649,0.8491,0.7864,0.85,0.8638,0.85,0.8498,0.8521,0.8659,0.8521,0.8519,0.9501,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0153, 'anger': 0.0086, 'anticipation': 0.0098, 'trust': 0.0095, 'surprise': 0.0117, 'sadness': 0.0147, 'disgust': 0.0069, 'joy': 0.0133, 'a_score': 0.4407}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8495,0.8634,0.8495,0.789,0.8492,0.8629,0.8492,0.8493,0.8514,0.8647,0.8514,0.8514,0.9506,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0153, 'anger': 0.0117, 'anticipation': 0.0112, 'trust': 0.0116, 'surprise': 0.0107, 'sadness': 0.0142, 'disgust': 0.0066, 'joy': 0.0132, 'a_score': 0.4395}",DecisionTreeClassifier()
