Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.8568,0.8724,0.8568,0.8317,0.8652,0.885,0.8652,0.8569,0.8697,0.8884,0.8697,0.8622,0.9238,not-balanced,100,10,8,3,867,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0027, 'anger': 0.001, 'anticipation': 0.0008, 'trust': 0.0012, 'surprise': 0.0016, 'sadness': 0.0018, 'disgust': 0.0013, 'joy': 0.0019, 'a_score': 0.2963}",MLPClassifier()
MLPClassifier,0.8289,0.8434,0.8289,0.8081,0.8623,0.88,0.8623,0.8544,0.8697,0.8867,0.8697,0.8626,0.9142,not-balanced,100,10,5,2,627,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.006, 'anger': 0.0008, 'anticipation': 0.0005, 'trust': 0.0003, 'surprise': 0.0004, 'sadness': 0.002, 'disgust': 0.0011, 'joy': 0.0002, 'a_score': 0.2972}",MLPClassifier()
MLPClassifier,0.8459,0.8591,0.8459,0.821,0.8607,0.8788,0.8607,0.8525,0.8697,0.8863,0.8697,0.8627,0.92,not-balanced,100,10,3,5,529,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0021, 'anger': 0.0011, 'anticipation': 0.0012, 'trust': 0.0017, 'surprise': 0.0015, 'sadness': 0.0001, 'disgust': 0.0035, 'joy': 0.0015, 'a_score': 0.2988}",MLPClassifier()
MLPClassifier,0.8444,0.8584,0.8444,0.8201,0.8643,0.8839,0.8643,0.8563,0.8695,0.8872,0.8695,0.8622,0.9173,not-balanced,100,10,7,5,874,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0019, 'anger': 0.0009, 'anticipation': 0.0007, 'trust': 0.0007, 'surprise': 0.0006, 'sadness': 0.0025, 'disgust': 0.0014, 'joy': 0.002, 'a_score': 0.298}",MLPClassifier()
MLPClassifier,0.8527,0.8653,0.8527,0.8277,0.8625,0.8801,0.8625,0.8549,0.8692,0.8852,0.8692,0.8622,0.9215,not-balanced,100,10,2,3,739,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0026, 'anger': 0.0009, 'anticipation': 0.0007, 'trust': 0.0013, 'surprise': 0.0013, 'sadness': 0.0018, 'disgust': 0.001, 'joy': 0.0024, 'a_score': 0.2966}",MLPClassifier()
MLPClassifier,0.8535,0.8707,0.8535,0.8292,0.864,0.8846,0.864,0.8554,0.8692,0.8888,0.8692,0.8615,0.9219,not-balanced,100,10,9,2,983,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0006, 'anger': 0.0009, 'anticipation': 0.001, 'trust': 0.0002, 'surprise': 0.001, 'sadness': 0.0007, 'disgust': 0.001, 'joy': 0.0011, 'a_score': 0.2933}",MLPClassifier()
MLPClassifier,0.8115,0.8203,0.8115,0.7804,0.8642,0.8805,0.8642,0.8569,0.8689,0.8848,0.8689,0.8619,0.9031,not-balanced,100,10,6,2,457,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0011, 'anger': 0.001, 'anticipation': 0.0002, 'trust': 0.0013, 'surprise': 0.0009, 'sadness': 0.0011, 'disgust': 0.0066, 'joy': 0.0018, 'a_score': 0.2927}",MLPClassifier()
MLPClassifier,0.8441,0.8593,0.8441,0.8204,0.866,0.8817,0.866,0.8584,0.8687,0.8846,0.8687,0.8617,0.9229,not-balanced,100,10,1,5,22,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0008, 'anger': 0.0006, 'anticipation': 0.0007, 'trust': 0.0006, 'surprise': 0.0009, 'sadness': 0.0004, 'disgust': 0.0032, 'joy': 0.0015, 'a_score': 0.2988}",MLPClassifier()
MLPClassifier,0.8348,0.8461,0.8348,0.8078,0.8573,0.875,0.8573,0.8493,0.8687,0.8835,0.8687,0.862,0.9128,not-balanced,100,10,5,4,107,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.001, 'anger': 0.0014, 'anticipation': 0.0022, 'trust': 0.0013, 'surprise': 0.0016, 'sadness': 0.0008, 'disgust': 0.0011, 'joy': 0.0021, 'a_score': 0.2979}",MLPClassifier()
MLPClassifier,0.8281,0.8397,0.8281,0.8015,0.8623,0.8814,0.8623,0.8543,0.8686,0.8862,0.8686,0.8612,0.9133,not-balanced,100,10,2,2,431,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0021, 'anger': 0.0029, 'anticipation': -0.0001, 'trust': 0.001, 'surprise': 0.0009, 'sadness': 0.0012, 'disgust': 0.0032, 'joy': 0.0016, 'a_score': 0.2913}",MLPClassifier()
