Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8333,0.8368,0.8333,0.7404,0.8404,0.8579,0.8404,0.8409,0.8473,0.8619,0.8473,0.8478,0.9375,not-balanced,100,10,1,5,937,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0085, 'anger': 0.0051, 'anticipation': 0.0039, 'trust': 0.005, 'surprise': 0.0063, 'sadness': 0.0048, 'disgust': 0.0048, 'joy': 0.0044, 'a_score': 0.4244}",KNeighborsClassifier()
KNeighborsClassifier,0.8335,0.8462,0.8335,0.7613,0.8397,0.8301,0.8397,0.8304,0.8471,0.8381,0.8471,0.8385,0.9527,not-balanced,100,10,8,2,392,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0067, 'anger': 0.0039, 'anticipation': 0.0044, 'trust': 0.0046, 'surprise': 0.0032, 'sadness': 0.0108, 'disgust': 0.0063, 'joy': 0.0025, 'a_score': 0.3994}",KNeighborsClassifier()
KNeighborsClassifier,0.8239,0.8377,0.8239,0.7274,0.8413,0.8549,0.8413,0.8411,0.8471,0.8614,0.8471,0.8475,0.9551,not-balanced,100,10,5,4,749,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0046, 'anger': 0.0026, 'anticipation': 0.0044, 'trust': 0.0065, 'surprise': 0.001, 'sadness': 0.0051, 'disgust': 0.0034, 'joy': 0.0038, 'a_score': 0.4223}",KNeighborsClassifier()
KNeighborsClassifier,0.8385,0.8481,0.8385,0.7541,0.8387,0.8574,0.8387,0.8384,0.8471,0.8629,0.8471,0.8471,0.9517,not-balanced,100,10,10,3,268,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0101, 'anger': 0.0026, 'anticipation': 0.0036, 'trust': 0.0052, 'surprise': 0.0045, 'sadness': 0.0072, 'disgust': 0.0033, 'joy': 0.0026, 'a_score': 0.4274}",KNeighborsClassifier()
KNeighborsClassifier,0.8335,0.8418,0.8335,0.746,0.8372,0.8245,0.8372,0.8243,0.847,0.8358,0.847,0.8346,0.9532,not-balanced,100,10,6,5,774,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0114, 'anger': 0.0034, 'anticipation': 0.0062, 'trust': 0.0064, 'surprise': 0.0038, 'sadness': 0.0103, 'disgust': 0.0038, 'joy': 0.0045, 'a_score': 0.3966}",KNeighborsClassifier()
KNeighborsClassifier,0.8396,0.8375,0.8396,0.7184,0.8421,0.8575,0.8421,0.8416,0.8469,0.8639,0.8469,0.8471,0.9425,not-balanced,100,10,1,1,790,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0068, 'anger': 0.0048, 'anticipation': 0.0048, 'trust': 0.0064, 'surprise': 0.0044, 'sadness': 0.0073, 'disgust': 0.0042, 'joy': 0.0065, 'a_score': 0.4259}",KNeighborsClassifier()
KNeighborsClassifier,0.8281,0.8368,0.8281,0.7358,0.843,0.8321,0.843,0.832,0.8469,0.8362,0.8469,0.8356,0.953,not-balanced,100,10,1,4,247,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.007, 'anger': 0.0033, 'anticipation': 0.0023, 'trust': 0.0038, 'surprise': 0.0013, 'sadness': 0.0041, 'disgust': 0.0052, 'joy': 0.0028, 'a_score': 0.3954}",KNeighborsClassifier()
KNeighborsClassifier,0.8331,0.8451,0.8331,0.7483,0.8422,0.8524,0.8422,0.8419,0.8469,0.8587,0.8469,0.847,0.9556,not-balanced,100,10,10,5,490,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0042, 'anticipation': 0.0026, 'trust': 0.0037, 'surprise': 0.0035, 'sadness': 0.0084, 'disgust': 0.0023, 'joy': 0.003, 'a_score': 0.4211}",KNeighborsClassifier()
KNeighborsClassifier,0.8331,0.8451,0.8331,0.7483,0.8422,0.8524,0.8422,0.8419,0.8469,0.8587,0.8469,0.847,0.9556,not-balanced,100,10,5,1,490,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0061, 'anger': 0.004, 'anticipation': 0.0033, 'trust': 0.0036, 'surprise': 0.0036, 'sadness': 0.0089, 'disgust': 0.002, 'joy': 0.0035, 'a_score': 0.4201}",KNeighborsClassifier()
KNeighborsClassifier,0.826,0.8338,0.826,0.7235,0.847,0.8367,0.847,0.8365,0.8467,0.8359,0.8467,0.8356,0.9528,not-balanced,100,10,2,5,19,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0048, 'anticipation': 0.003, 'trust': 0.006, 'surprise': 0.0039, 'sadness': 0.0046, 'disgust': 0.003, 'joy': 0.0036, 'a_score': 0.3961}",KNeighborsClassifier()
KNeighborsClassifier,0.8365,0.8393,0.8365,0.7285,0.8411,0.86,0.8411,0.8419,0.8465,0.8641,0.8465,0.8474,0.9518,not-balanced,100,10,7,3,474,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.005, 'anticipation': 0.0048, 'trust': 0.004, 'surprise': 0.0045, 'sadness': 0.0066, 'disgust': 0.0016, 'joy': 0.008, 'a_score': 0.4292}",KNeighborsClassifier()
