Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8781,0.8838,0.8781,0.868,0.8923,0.8936,0.8923,0.8902,0.8929,0.894,0.8929,0.8911,0.9462,not-balanced,100,10,4,1,636,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0137, 'anger': 0.0082, 'anticipation': 0.0042, 'trust': 0.0035, 'surprise': 0.0101, 'sadness': 0.0143, 'disgust': 0.0109, 'joy': 0.0063, 'a_score': 0.3477}",KNeighborsClassifier()
KNeighborsClassifier,0.8849,0.8894,0.8849,0.874,0.8883,0.8907,0.8883,0.8859,0.8924,0.8937,0.8924,0.8905,0.9497,not-balanced,100,10,9,2,864,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0094, 'anger': 0.0097, 'anticipation': 0.0064, 'trust': 0.0048, 'surprise': 0.012, 'sadness': 0.0085, 'disgust': 0.0101, 'joy': 0.0084, 'a_score': 0.3498}",KNeighborsClassifier()
KNeighborsClassifier,0.8864,0.8909,0.8864,0.8751,0.8947,0.8967,0.8947,0.8925,0.8924,0.8939,0.8924,0.8903,0.9568,not-balanced,100,10,5,1,592,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0097, 'anticipation': 0.0061, 'trust': 0.0037, 'surprise': 0.0081, 'sadness': 0.0047, 'disgust': 0.0094, 'joy': 0.0105, 'a_score': 0.3497}",KNeighborsClassifier()
KNeighborsClassifier,0.8805,0.8871,0.8805,0.8708,0.8875,0.8897,0.8875,0.8849,0.8919,0.8938,0.8919,0.8896,0.9557,not-balanced,100,10,6,5,781,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0087, 'anger': 0.0084, 'anticipation': 0.0108, 'trust': 0.0048, 'surprise': 0.0122, 'sadness': 0.0083, 'disgust': 0.0103, 'joy': 0.0071, 'a_score': 0.3523}",KNeighborsClassifier()
KNeighborsClassifier,0.8856,0.8905,0.8856,0.8749,0.8915,0.8938,0.8915,0.8892,0.8919,0.8939,0.8919,0.8897,0.9523,not-balanced,100,10,7,5,925,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0087, 'anger': 0.0084, 'anticipation': 0.0091, 'trust': 0.0061, 'surprise': 0.0136, 'sadness': 0.0073, 'disgust': 0.0123, 'joy': 0.0092, 'a_score': 0.3471}",KNeighborsClassifier()
KNeighborsClassifier,0.8852,0.8912,0.8852,0.8735,0.8946,0.8972,0.8946,0.8922,0.8918,0.8942,0.8918,0.8894,0.9548,not-balanced,100,10,1,3,481,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.013, 'anger': 0.0055, 'anticipation': 0.0102, 'trust': 0.0043, 'surprise': 0.0107, 'sadness': 0.0062, 'disgust': 0.0093, 'joy': 0.0047, 'a_score': 0.3477}",KNeighborsClassifier()
KNeighborsClassifier,0.8832,0.8885,0.8832,0.8726,0.891,0.8929,0.891,0.8888,0.8917,0.8933,0.8917,0.8896,0.9481,not-balanced,100,10,10,5,614,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0123, 'anger': 0.0078, 'anticipation': 0.0078, 'trust': 0.0049, 'surprise': 0.0085, 'sadness': 0.0063, 'disgust': 0.0104, 'joy': 0.009, 'a_score': 0.3511}",KNeighborsClassifier()
KNeighborsClassifier,0.8817,0.8872,0.8817,0.8705,0.8945,0.8977,0.8945,0.892,0.8917,0.8939,0.8917,0.8894,0.9459,not-balanced,100,10,5,4,59,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0063, 'anger': 0.0066, 'anticipation': 0.0096, 'trust': 0.0036, 'surprise': 0.0065, 'sadness': 0.0051, 'disgust': 0.0092, 'joy': 0.0112, 'a_score': 0.3456}",KNeighborsClassifier()
KNeighborsClassifier,0.8771,0.8848,0.8771,0.8681,0.8901,0.8907,0.8901,0.8882,0.8911,0.8916,0.8911,0.8894,0.9516,not-balanced,100,10,6,2,199,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0094, 'anger': 0.0104, 'anticipation': 0.0098, 'trust': 0.0051, 'surprise': 0.0101, 'sadness': 0.0101, 'disgust': 0.0119, 'joy': 0.0076, 'a_score': 0.3494}",KNeighborsClassifier()
KNeighborsClassifier,0.8835,0.8897,0.8835,0.8727,0.8883,0.8911,0.8883,0.8856,0.8911,0.8927,0.8911,0.889,0.9521,not-balanced,100,10,8,5,787,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0128, 'anticipation': 0.0103, 'trust': 0.0034, 'surprise': 0.0093, 'sadness': 0.0046, 'disgust': 0.0088, 'joy': 0.0105, 'a_score': 0.3449}",KNeighborsClassifier()
KNeighborsClassifier,0.8778,0.8858,0.8778,0.8681,0.8943,0.896,0.8943,0.8922,0.8908,0.8922,0.8908,0.8887,0.9553,not-balanced,100,10,6,1,802,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0092, 'anger': 0.0121, 'anticipation': 0.0076, 'trust': 0.0053, 'surprise': 0.0072, 'sadness': 0.0065, 'disgust': 0.0123, 'joy': 0.006, 'a_score': 0.3449}",KNeighborsClassifier()
KNeighborsClassifier,0.8882,0.8918,0.8882,0.8755,0.8929,0.8947,0.8929,0.8908,0.8906,0.8916,0.8906,0.8887,0.9505,not-balanced,100,10,10,3,608,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.0054, 'anticipation': 0.0071, 'trust': 0.005, 'surprise': 0.0104, 'sadness': 0.0139, 'disgust': 0.0074, 'joy': 0.0069, 'a_score': 0.3484}",KNeighborsClassifier()
KNeighborsClassifier,0.882,0.887,0.882,0.8714,0.8892,0.8903,0.8892,0.8873,0.8903,0.8909,0.8903,0.8886,0.9571,not-balanced,100,10,1,2,29,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0072, 'anger': 0.0075, 'anticipation': 0.0094, 'trust': 0.006, 'surprise': 0.0063, 'sadness': 0.01, 'disgust': 0.0098, 'joy': 0.0069, 'a_score': 0.3484}",KNeighborsClassifier()
