Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8444,0.8551,0.8444,0.8433,0.1475,0.8525,0.8862,0.8525,0.8495,0.8534,0.8866,0.8534,0.8503,0.9318,0.1466,not-balanced,50,60,10,4,3,462,kbest,"['fear', 'a_score']","{'fear': 0.0006, 'a_score': 0.3579}",KNeighborsClassifier()
KNeighborsClassifier,0.844,0.8655,0.844,0.8419,0.1428,0.8572,0.8886,0.8572,0.8542,0.8534,0.8866,0.8534,0.8503,0.9299,0.1466,not-balanced,50,60,10,2,4,897,kbest,"['fear', 'a_score']","{'fear': 0.0002, 'a_score': 0.3537}",KNeighborsClassifier()
KNeighborsClassifier,0.8312,0.8353,0.8312,0.8306,0.1429,0.8571,0.889,0.8571,0.8542,0.8531,0.8866,0.8531,0.85,0.9365,0.1469,not-balanced,50,60,10,1,1,610,kbest,"['fear', 'a_score']","{'fear': 0.0, 'a_score': 0.3565}",KNeighborsClassifier()
KNeighborsClassifier,0.8307,0.8457,0.8307,0.8289,0.1458,0.8542,0.8873,0.8542,0.8512,0.8531,0.8866,0.8531,0.85,0.9279,0.1469,not-balanced,50,60,10,5,4,219,kbest,"['fear', 'a_score']","{'fear': 0.0, 'a_score': 0.353}",KNeighborsClassifier()
KNeighborsClassifier,0.8395,0.8568,0.8395,0.8375,0.1451,0.8549,0.8874,0.8549,0.8517,0.8531,0.8865,0.8531,0.8499,0.9425,0.1469,not-balanced,50,60,10,3,1,909,kbest,"['fear', 'a_score']","{'fear': 0.0002, 'a_score': 0.3545}",KNeighborsClassifier()
KNeighborsClassifier,0.8229,0.8471,0.8229,0.8196,0.1488,0.8512,0.8855,0.8512,0.848,0.8531,0.8866,0.8531,0.85,0.9425,0.1469,not-balanced,50,60,10,2,2,994,kbest,"['fear', 'a_score']","{'fear': 0.0, 'a_score': 0.3564}",KNeighborsClassifier()
KNeighborsClassifier,0.8331,0.8462,0.8331,0.8317,0.1474,0.8526,0.8858,0.8526,0.8494,0.8531,0.8863,0.8531,0.85,0.9383,0.1469,not-balanced,60,60,10,8,3,538,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0004, 'trust': 0.0001, 'a_score': 0.3563}",KNeighborsClassifier()
KNeighborsClassifier,0.8351,0.8481,0.8351,0.8338,0.1478,0.8522,0.8854,0.8522,0.849,0.853,0.8861,0.853,0.8499,0.9379,0.147,not-balanced,50,60,10,8,3,538,kbest,"['trust', 'a_score']","{'trust': -0.0001, 'a_score': 0.357}",KNeighborsClassifier()
KNeighborsClassifier,0.8425,0.8557,0.8425,0.841,0.1436,0.8564,0.8811,0.8564,0.8541,0.8529,0.8786,0.8529,0.8504,0.9336,0.1471,not-balanced,50,60,10,9,5,313,kbest,"['joy', 'a_score']","{'joy': 0.0024, 'a_score': 0.3533}",KNeighborsClassifier()
KNeighborsClassifier,0.8396,0.8613,0.8396,0.8371,0.1467,0.8533,0.8862,0.8533,0.8504,0.8525,0.8856,0.8525,0.8494,0.9288,0.1475,not-balanced,50,60,10,4,5,497,kbest,"['fear', 'a_score']","{'fear': 0.0005, 'a_score': 0.3535}",KNeighborsClassifier()
KNeighborsClassifier,0.829,0.8426,0.829,0.8274,0.1471,0.8529,0.8847,0.8529,0.85,0.8522,0.8842,0.8522,0.8491,0.9342,0.1478,not-balanced,50,60,10,7,3,86,kbest,"['fear', 'a_score']","{'fear': -0.0008, 'a_score': 0.3553}",KNeighborsClassifier()
KNeighborsClassifier,0.8226,0.8419,0.8226,0.8198,0.147,0.853,0.8844,0.853,0.8499,0.8522,0.8841,0.8522,0.8491,0.9223,0.1478,not-balanced,50,60,10,9,3,900,kbest,"['fear', 'a_score']","{'fear': -0.0003, 'a_score': 0.3547}",KNeighborsClassifier()
KNeighborsClassifier,0.8356,0.8532,0.8356,0.8338,0.1441,0.8559,0.8862,0.8559,0.853,0.8521,0.8841,0.8521,0.8491,0.9305,0.1479,not-balanced,60,60,10,3,2,889,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0009, 'trust': -0.0004, 'a_score': 0.3533}",KNeighborsClassifier()
KNeighborsClassifier,0.8327,0.842,0.8327,0.8317,0.1465,0.8535,0.8573,0.8535,0.8531,0.8514,0.8553,0.8514,0.851,0.9383,0.1486,not-balanced,60,60,10,6,5,307,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0034, 'trust': 0.0008, 'a_score': 0.3526}",KNeighborsClassifier()
KNeighborsClassifier,0.8365,0.8465,0.8365,0.8353,0.1465,0.8535,0.882,0.8535,0.8509,0.8514,0.8794,0.8514,0.8487,0.9384,0.1486,not-balanced,60,60,10,10,4,466,kbest,"['fear', 'sadness', 'a_score']","{'fear': 0.002, 'sadness': 0.0039, 'a_score': 0.3549}",KNeighborsClassifier()
KNeighborsClassifier,0.8388,0.8509,0.8388,0.8376,0.1432,0.8568,0.8826,0.8568,0.8543,0.8514,0.8792,0.8514,0.8487,0.9299,0.1486,not-balanced,60,60,10,3,4,768,kbest,"['fear', 'sadness', 'a_score']","{'fear': 0.0045, 'sadness': 0.0041, 'a_score': 0.3578}",KNeighborsClassifier()
KNeighborsClassifier,0.8423,0.8587,0.8423,0.8405,0.1486,0.8514,0.8804,0.8514,0.8487,0.8513,0.8805,0.8513,0.8485,0.9366,0.1487,not-balanced,60,60,10,4,2,19,kbest,"['fear', 'anticipation', 'a_score']","{'fear': -0.0003, 'anticipation': 0.0003, 'a_score': 0.3494}",KNeighborsClassifier()
KNeighborsClassifier,0.8254,0.8355,0.8254,0.8241,0.1475,0.8525,0.8836,0.8525,0.8498,0.8505,0.8806,0.8505,0.8477,0.9358,0.1495,not-balanced,60,60,10,1,5,936,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0005, 'trust': 0.0017, 'a_score': 0.3516}",KNeighborsClassifier()
KNeighborsClassifier,0.8416,0.8488,0.8416,0.8407,0.1443,0.8557,0.8574,0.8557,0.8555,0.8503,0.8522,0.8503,0.8502,0.9393,0.1497,not-balanced,60,60,10,1,1,610,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0034, 'trust': 0.0011, 'a_score': 0.3473}",KNeighborsClassifier()
KNeighborsClassifier,0.8393,0.8486,0.8393,0.8384,0.1424,0.8576,0.8805,0.8576,0.8553,0.85,0.875,0.85,0.8475,0.9382,0.15,not-balanced,60,60,10,6,1,239,kbest,"['fear', 'sadness', 'a_score']","{'fear': 0.0048, 'sadness': 0.0052, 'a_score': 0.3548}",KNeighborsClassifier()
KNeighborsClassifier,0.8276,0.8374,0.8276,0.8262,0.1433,0.8567,0.8733,0.8567,0.855,0.8498,0.8671,0.8498,0.8481,0.9368,0.1502,not-balanced,70,60,10,6,1,239,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0031, 'trust': 0.0031, 'sadness': 0.0057, 'disgust': 0.0006, 'a_score': 0.3583}",KNeighborsClassifier()
KNeighborsClassifier,0.8324,0.8454,0.8324,0.8308,0.146,0.854,0.8557,0.854,0.8538,0.8496,0.8513,0.8496,0.8495,0.939,0.1504,not-balanced,50,60,10,6,5,307,kbest,"['fear', 'a_score']","{'fear': 0.0058, 'a_score': 0.3497}",KNeighborsClassifier()
KNeighborsClassifier,0.8393,0.8613,0.8393,0.8364,0.1496,0.8504,0.8522,0.8504,0.8502,0.8496,0.8513,0.8496,0.8495,0.9381,0.1504,not-balanced,50,60,10,8,4,608,kbest,"['fear', 'a_score']","{'fear': 0.0049, 'a_score': 0.3525}",KNeighborsClassifier()
KNeighborsClassifier,0.8287,0.8354,0.8287,0.8277,0.1487,0.8513,0.8692,0.8513,0.8496,0.8493,0.8681,0.8493,0.8474,0.9308,0.1507,not-balanced,80,60,10,1,1,610,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0064, 'anticipation': 0.0028, 'trust': 0.0036, 'sadness': 0.0044, 'disgust': 0.0049, 'a_score': 0.3539}",KNeighborsClassifier()
KNeighborsClassifier,0.8323,0.8391,0.8323,0.8314,0.1452,0.8548,0.8727,0.8548,0.8531,0.8493,0.868,0.8493,0.8475,0.9319,0.1507,not-balanced,70,60,10,1,1,610,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'a_score']","{'fear': 0.0056, 'anticipation': 0.0014, 'trust': 0.0032, 'sadness': 0.0046, 'a_score': 0.3545}",KNeighborsClassifier()
KNeighborsClassifier,0.8292,0.8395,0.8292,0.8277,0.1485,0.8515,0.8735,0.8515,0.8493,0.849,0.8724,0.849,0.8467,0.9326,0.151,not-balanced,70,60,10,4,4,195,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'a_score']","{'fear': 0.0036, 'anticipation': 0.0019, 'trust': 0.0028, 'disgust': 0.0051, 'a_score': 0.3531}",KNeighborsClassifier()
KNeighborsClassifier,0.8357,0.8389,0.8357,0.8352,0.1504,0.8496,0.8751,0.8496,0.8471,0.849,0.8742,0.849,0.8465,0.9291,0.151,not-balanced,50,60,10,6,4,117,kbest,"['fear', 'a_score']","{'fear': -0.0026, 'a_score': 0.3516}",KNeighborsClassifier()
KNeighborsClassifier,0.8387,0.8464,0.8387,0.8378,0.1503,0.8497,0.8514,0.8497,0.8496,0.8489,0.8504,0.8489,0.8488,0.9377,0.1511,not-balanced,60,60,10,7,4,14,kbest,"['fear', 'anticipation', 'a_score']","{'fear': 0.0058, 'anticipation': 0.0006, 'a_score': 0.3513}",KNeighborsClassifier()
KNeighborsClassifier,0.8326,0.857,0.8326,0.8292,0.1491,0.8509,0.8763,0.8509,0.8483,0.8488,0.8741,0.8488,0.8463,0.9394,0.1512,not-balanced,50,60,10,4,4,195,kbest,"['fear', 'a_score']","{'fear': -0.0036, 'a_score': 0.3498}",KNeighborsClassifier()
KNeighborsClassifier,0.8429,0.8665,0.8429,0.8402,0.1485,0.8515,0.8769,0.8515,0.8489,0.8488,0.8741,0.8488,0.8463,0.9288,0.1512,not-balanced,50,60,10,3,4,768,kbest,"['fear', 'a_score']","{'fear': -0.0028, 'a_score': 0.3516}",KNeighborsClassifier()
KNeighborsClassifier,0.8319,0.8548,0.8319,0.8287,0.1475,0.8525,0.8538,0.8525,0.8524,0.8486,0.85,0.8486,0.8485,0.9415,0.1514,not-balanced,50,60,10,8,2,402,kbest,"['fear', 'a_score']","{'fear': 0.0053, 'a_score': 0.3501}",KNeighborsClassifier()
KNeighborsClassifier,0.834,0.8445,0.834,0.8328,0.1456,0.8544,0.858,0.8544,0.8541,0.8485,0.852,0.8485,0.8482,0.9276,0.1515,not-balanced,70,60,10,2,3,391,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'a_score']","{'fear': 0.0032, 'anticipation': 0.0027, 'trust': 0.0038, 'sadness': 0.0039, 'a_score': 0.3539}",KNeighborsClassifier()
KNeighborsClassifier,0.8382,0.8503,0.8382,0.8368,0.1482,0.8518,0.8692,0.8518,0.8501,0.8485,0.8662,0.8485,0.8467,0.9373,0.1515,not-balanced,60,60,10,9,5,313,kbest,"['fear', 'joy', 'a_score']","{'fear': 0.0017, 'joy': 0.0035, 'a_score': 0.3515}",KNeighborsClassifier()
KNeighborsClassifier,0.8324,0.8509,0.8324,0.8301,0.1482,0.8518,0.8558,0.8518,0.8515,0.8482,0.8511,0.8482,0.8479,0.9416,0.1518,not-balanced,60,60,10,3,5,537,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0033, 'trust': 0.0019, 'a_score': 0.3512}",KNeighborsClassifier()
KNeighborsClassifier,0.8359,0.8455,0.8359,0.8348,0.1482,0.8518,0.855,0.8518,0.8516,0.8481,0.8509,0.8481,0.8478,0.928,0.1519,not-balanced,80,60,10,2,3,391,kbest,"['fear', 'anger', 'anticipation', 'trust', 'sadness', 'a_score']","{'fear': 0.007, 'anger': 0.0035, 'anticipation': 0.0046, 'trust': 0.0054, 'sadness': 0.0057, 'a_score': 0.3534}",KNeighborsClassifier()
KNeighborsClassifier,0.8389,0.8577,0.8389,0.8366,0.1502,0.8498,0.8512,0.8498,0.8497,0.8479,0.8493,0.8479,0.8478,0.9346,0.1521,not-balanced,60,60,10,4,5,497,kbest,"['fear', 'anticipation', 'a_score']","{'fear': 0.0048, 'anticipation': 0.0006, 'a_score': 0.3515}",KNeighborsClassifier()
KNeighborsClassifier,0.8254,0.8458,0.8254,0.8227,0.1499,0.8501,0.8738,0.8501,0.8479,0.8477,0.8718,0.8477,0.8453,0.9316,0.1523,not-balanced,50,60,10,2,3,391,kbest,"['fear', 'a_score']","{'fear': -0.0014, 'a_score': 0.3505}",KNeighborsClassifier()
