Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8365,0.8421,0.8365,0.7203,0.3322,0.8511,0.88,0.8511,0.851,0.8549,0.8841,0.8549,0.8549,0.9409,0.3208,not-balanced,70,60,10,4,2,348,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.003, 'trust': 0.005, 'surprise': 0.0044, 'joy': 0.0074, 'a_score': 0.4333}",KNeighborsClassifier()
KNeighborsClassifier,0.8315,0.8459,0.8315,0.7473,0.3433,0.8483,0.8756,0.8483,0.8476,0.8547,0.8814,0.8547,0.854,0.9541,0.3258,not-balanced,70,60,10,8,1,411,kbest,"['anger', 'trust', 'surprise', 'sadness', 'a_score']","{'anger': 0.0021, 'trust': 0.0024, 'surprise': 0.003, 'sadness': 0.0015, 'a_score': 0.4307}",KNeighborsClassifier()
KNeighborsClassifier,0.8388,0.8522,0.8388,0.7052,0.3342,0.8497,0.8897,0.8497,0.8486,0.8546,0.8944,0.8546,0.8539,0.9551,0.3272,not-balanced,50,60,10,9,4,22,kbest,"['fear', 'a_score']","{'fear': 0.0007, 'a_score': 0.4359}",KNeighborsClassifier()
KNeighborsClassifier,0.8451,0.8435,0.8451,0.7258,0.3397,0.8479,0.866,0.8479,0.8474,0.8546,0.8734,0.8546,0.8542,0.9521,0.3207,not-balanced,80,60,10,4,2,348,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0052, 'trust': 0.0038, 'surprise': 0.0031, 'sadness': 0.0018, 'joy': 0.0077, 'a_score': 0.4256}",KNeighborsClassifier()
KNeighborsClassifier,0.8402,0.8647,0.8402,0.7502,0.361,0.8462,0.8825,0.8462,0.846,0.8545,0.8877,0.8545,0.8535,0.9566,0.3267,not-balanced,50,60,10,4,1,347,kbest,"['surprise', 'a_score']","{'surprise': 0.0027, 'a_score': 0.4333}",KNeighborsClassifier()
KNeighborsClassifier,0.8402,0.8647,0.8402,0.7502,0.361,0.8462,0.8825,0.8462,0.846,0.8545,0.8877,0.8545,0.8535,0.9566,0.3267,not-balanced,50,60,10,6,1,347,kbest,"['surprise', 'a_score']","{'surprise': 0.0027, 'a_score': 0.4323}",KNeighborsClassifier()
KNeighborsClassifier,0.837,0.8443,0.837,0.7021,0.3447,0.8512,0.8957,0.8512,0.8508,0.8544,0.8958,0.8544,0.8534,0.9584,0.3274,not-balanced,50,60,10,1,4,70,kbest,"['sadness', 'a_score']","{'sadness': 0.0001, 'a_score': 0.4358}",KNeighborsClassifier()
KNeighborsClassifier,0.8113,0.8455,0.8113,0.7221,0.3453,0.8515,0.8958,0.8515,0.8513,0.8544,0.8958,0.8544,0.8534,0.9442,0.3274,not-balanced,50,60,10,1,5,802,kbest,"['fear', 'a_score']","{'fear': 0.0001, 'a_score': 0.4316}",KNeighborsClassifier()
KNeighborsClassifier,0.8502,0.8536,0.8502,0.7014,0.3392,0.8515,0.8941,0.8515,0.8505,0.8542,0.8954,0.8542,0.8533,0.9593,0.3276,not-balanced,50,60,10,10,3,158,kbest,"['sadness', 'a_score']","{'sadness': 0.0004, 'a_score': 0.4383}",KNeighborsClassifier()
KNeighborsClassifier,0.8319,0.8378,0.8319,0.7146,0.3601,0.8435,0.865,0.8435,0.843,0.8541,0.8738,0.8541,0.8532,0.9587,0.3226,not-balanced,70,60,10,3,5,893,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0059, 'trust': 0.0042, 'surprise': 0.0011, 'sadness': 0.0041, 'a_score': 0.4255}",KNeighborsClassifier()
KNeighborsClassifier,0.8336,0.8454,0.8336,0.7129,0.3447,0.8472,0.8886,0.8472,0.8465,0.854,0.8927,0.854,0.8535,0.9581,0.3278,not-balanced,50,60,10,5,2,414,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.4384}",KNeighborsClassifier()
