Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.852,0.868,0.852,0.7925,0.8533,0.8685,0.8533,0.8532,0.8535,0.8686,0.8535,0.8531,0.9639,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0069, 'anticipation': 0.0106, 'trust': 0.0121, 'surprise': 0.0079, 'sadness': 0.0126, 'disgust': 0.0083, 'joy': 0.0112, 'a_score': 0.4393}",RandomForestClassifier()
RandomForestClassifier,0.8493,0.8657,0.8493,0.791,0.8549,0.8735,0.8549,0.8549,0.8533,0.8719,0.8533,0.853,0.9637,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0094, 'anger': 0.0072, 'anticipation': 0.0119, 'trust': 0.0111, 'surprise': 0.0086, 'sadness': 0.0121, 'disgust': 0.0086, 'joy': 0.0099, 'a_score': 0.4364}",RandomForestClassifier()
RandomForestClassifier,0.8486,0.8656,0.8486,0.7854,0.8545,0.8731,0.8545,0.8545,0.8528,0.8718,0.8528,0.8524,0.9634,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0106, 'anger': 0.0078, 'anticipation': 0.0092, 'trust': 0.0121, 'surprise': 0.0078, 'sadness': 0.0118, 'disgust': 0.0065, 'joy': 0.009, 'a_score': 0.438}",RandomForestClassifier()
RandomForestClassifier,0.8528,0.8669,0.8528,0.795,0.8532,0.868,0.8532,0.853,0.8523,0.8676,0.8523,0.8518,0.9646,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0105, 'anger': 0.0071, 'anticipation': 0.0102, 'trust': 0.0127, 'surprise': 0.008, 'sadness': 0.0124, 'disgust': 0.0053, 'joy': 0.0124, 'a_score': 0.4369}",RandomForestClassifier()
RandomForestClassifier,0.8472,0.8624,0.8472,0.7848,0.8533,0.87,0.8533,0.8532,0.8521,0.8692,0.8521,0.8516,0.9629,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0088, 'anger': 0.0064, 'anticipation': 0.0104, 'trust': 0.0106, 'surprise': 0.0078, 'sadness': 0.0103, 'disgust': 0.0056, 'joy': 0.0091, 'a_score': 0.4415}",RandomForestClassifier()
RandomForestClassifier,0.85,0.8663,0.85,0.7878,0.8537,0.8699,0.8537,0.8534,0.8521,0.8681,0.8521,0.8514,0.9634,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0113, 'anger': 0.0061, 'anticipation': 0.0108, 'trust': 0.0132, 'surprise': 0.0079, 'sadness': 0.0126, 'disgust': 0.005, 'joy': 0.01, 'a_score': 0.4391}",RandomForestClassifier()
RandomForestClassifier,0.8487,0.8648,0.8487,0.7898,0.8528,0.8691,0.8528,0.8528,0.852,0.8686,0.852,0.8517,0.9636,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0077, 'anticipation': 0.0097, 'trust': 0.0115, 'surprise': 0.0081, 'sadness': 0.0101, 'disgust': 0.0056, 'joy': 0.0112, 'a_score': 0.4363}",RandomForestClassifier()
DecisionTreeClassifier,0.8552,0.8688,0.8552,0.7919,0.8479,0.8606,0.8479,0.8475,0.852,0.8646,0.852,0.852,0.9512,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0115, 'anger': 0.0076, 'anticipation': 0.0141, 'trust': 0.0122, 'surprise': 0.0103, 'sadness': 0.023, 'disgust': 0.0108, 'joy': 0.0084, 'a_score': 0.4408}",DecisionTreeClassifier()
RandomForestClassifier,0.8494,0.8655,0.8494,0.7891,0.8541,0.8709,0.8541,0.854,0.8518,0.8684,0.8518,0.8513,0.9639,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0113, 'anger': 0.0072, 'anticipation': 0.011, 'trust': 0.0119, 'surprise': 0.0079, 'sadness': 0.0112, 'disgust': 0.0062, 'joy': 0.0112, 'a_score': 0.4375}",RandomForestClassifier()
DecisionTreeClassifier,0.8535,0.8656,0.8535,0.7889,0.8483,0.8614,0.8483,0.848,0.8517,0.8652,0.8517,0.8518,0.948,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0134, 'anger': 0.0083, 'anticipation': 0.0151, 'trust': 0.0138, 'surprise': 0.0083, 'sadness': 0.0216, 'disgust': 0.0097, 'joy': 0.0084, 'a_score': 0.4421}",DecisionTreeClassifier()
