Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8557,0.8585,0.8557,0.8554,0.8373,0.8384,0.8373,0.8372,0.8507,0.8515,0.8507,0.8506,0.9432,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0076, 'anticipation': 0.0143, 'trust': 0.0145, 'surprise': 0.0082, 'sadness': 0.0131, 'disgust': 0.0106, 'joy': 0.0124, 'a_score': 0.371}",RandomForestClassifier()
DecisionTreeClassifier,0.843,0.8463,0.843,0.8428,0.845,0.8452,0.845,0.8449,0.8503,0.8508,0.8503,0.8503,0.9281,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0095, 'anger': 0.0096, 'anticipation': 0.0135, 'trust': 0.0213, 'surprise': 0.0107, 'sadness': 0.0106, 'disgust': 0.0142, 'joy': 0.0144, 'a_score': 0.3719}",DecisionTreeClassifier()
RandomForestClassifier,0.849,0.8508,0.849,0.8488,0.8427,0.8444,0.8427,0.8426,0.8502,0.8513,0.8502,0.8501,0.9392,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0123, 'anger': 0.011, 'anticipation': 0.0152, 'trust': 0.0206, 'surprise': 0.0109, 'sadness': 0.0152, 'disgust': 0.0108, 'joy': 0.0106, 'a_score': 0.3677}",RandomForestClassifier()
RandomForestClassifier,0.8528,0.8543,0.8528,0.8526,0.8391,0.8405,0.8391,0.839,0.8498,0.8506,0.8498,0.8497,0.9467,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0157, 'anger': 0.0106, 'anticipation': 0.017, 'trust': 0.0157, 'surprise': 0.008, 'sadness': 0.0145, 'disgust': 0.012, 'joy': 0.0109, 'a_score': 0.3751}",RandomForestClassifier()
DecisionTreeClassifier,0.841,0.8452,0.841,0.8407,0.8387,0.8389,0.8387,0.8386,0.8498,0.8505,0.8498,0.8498,0.926,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0114, 'anger': 0.0095, 'anticipation': 0.0169, 'trust': 0.0141, 'surprise': 0.0098, 'sadness': 0.0119, 'disgust': 0.0087, 'joy': 0.0163, 'a_score': 0.3715}",DecisionTreeClassifier()
RandomForestClassifier,0.852,0.8537,0.852,0.8519,0.8432,0.8447,0.8432,0.8431,0.8493,0.8504,0.8493,0.8492,0.9423,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0129, 'anger': 0.0086, 'anticipation': 0.0184, 'trust': 0.0134, 'surprise': 0.0107, 'sadness': 0.0112, 'disgust': 0.0121, 'joy': 0.011, 'a_score': 0.3681}",RandomForestClassifier()
DecisionTreeClassifier,0.845,0.848,0.845,0.8448,0.8459,0.8462,0.8459,0.8458,0.8493,0.8499,0.8493,0.8493,0.9253,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0085, 'anger': 0.0094, 'anticipation': 0.0167, 'trust': 0.0147, 'surprise': 0.0169, 'sadness': 0.0133, 'disgust': 0.0127, 'joy': 0.0127, 'a_score': 0.3683}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8426,0.8441,0.8426,0.8426,0.8427,0.8428,0.8427,0.8427,0.8493,0.8498,0.8493,0.8493,0.925,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0087, 'anger': 0.0062, 'anticipation': 0.0153, 'trust': 0.0156, 'surprise': 0.0121, 'sadness': 0.0159, 'disgust': 0.0132, 'joy': 0.0161, 'a_score': 0.3726}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8447,0.8476,0.8447,0.8444,0.8414,0.8414,0.8414,0.8414,0.8492,0.8494,0.8492,0.8492,0.9284,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0148, 'anger': 0.0098, 'anticipation': 0.0151, 'trust': 0.0165, 'surprise': 0.012, 'sadness': 0.0192, 'disgust': 0.0133, 'joy': 0.0114, 'a_score': 0.3776}",DecisionTreeClassifier()
RandomForestClassifier,0.849,0.8505,0.849,0.8489,0.8364,0.8379,0.8364,0.8363,0.8491,0.85,0.8491,0.8491,0.9415,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0112, 'anger': 0.0082, 'anticipation': 0.0164, 'trust': 0.0139, 'surprise': 0.0096, 'sadness': 0.0109, 'disgust': 0.0112, 'joy': 0.0117, 'a_score': 0.3682}",RandomForestClassifier()
