Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Features;Features Importance;Model
RandomForestClassifier;0.6785;0.5874;0.6785;0.4381;0.6767;0.5717;0.6767;0.574;0.6298;0.5535;0.6298;0.51;0.5287;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0184, 'anger': 0.0121, 'anticipation': 0.0167, 'trust': 0.0194, 'surprise': 0.0116, 'sadness': 0.0173, 'disgust': 0.0117, 'joy': 0.0127};RandomForestClassifier()
RandomForestClassifier;0.7787;0.6797;0.7787;0.4559;0.7846;0.6693;0.7846;0.7022;0.4991;0.5313;0.4991;0.3424;0.5166;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0105, 'anger': 0.0075, 'anticipation': 0.0107, 'trust': 0.011, 'surprise': 0.0089, 'sadness': 0.0106, 'disgust': 0.0088, 'joy': 0.0119};RandomForestClassifier()
RandomForestClassifier;0.7791;0.6753;0.7791;0.4553;0.7692;0.6739;0.7692;0.6811;0.499;0.5253;0.499;0.3429;0.5139;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.011, 'anger': 0.0061, 'anticipation': 0.0102, 'trust': 0.01, 'surprise': 0.0095, 'sadness': 0.01, 'disgust': 0.0084, 'joy': 0.0121};RandomForestClassifier()
RandomForestClassifier;0.7788;0.6785;0.7788;0.4563;0.7773;0.6581;0.7773;0.6952;0.4989;0.5245;0.4989;0.3428;0.5136;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0109, 'anger': 0.0073, 'anticipation': 0.0104, 'trust': 0.0109, 'surprise': 0.01, 'sadness': 0.0101, 'disgust': 0.008, 'joy': 0.0119};RandomForestClassifier()
RandomForestClassifier;0.7797;0.6769;0.7797;0.4548;0.7746;0.679;0.7746;0.6897;0.4988;0.5224;0.4988;0.342;0.5218;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0103, 'anger': 0.0074, 'anticipation': 0.0097, 'trust': 0.0114, 'surprise': 0.0086, 'sadness': 0.0096, 'disgust': 0.0075, 'joy': 0.013};RandomForestClassifier()
RandomForestClassifier;0.7797;0.6757;0.7797;0.4548;0.7714;0.677;0.7714;0.6822;0.4987;0.5211;0.4987;0.3421;0.5164;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0106, 'anger': 0.0064, 'anticipation': 0.0102, 'trust': 0.0104, 'surprise': 0.0087, 'sadness': 0.0098, 'disgust': 0.0075, 'joy': 0.0114};RandomForestClassifier()
RandomForestClassifier;0.7781;0.6714;0.7781;0.4538;0.7825;0.6843;0.7825;0.6997;0.4986;0.5197;0.4986;0.3413;0.5186;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0101, 'anger': 0.0065, 'anticipation': 0.0096, 'trust': 0.0106, 'surprise': 0.0081, 'sadness': 0.009, 'disgust': 0.0073, 'joy': 0.011};RandomForestClassifier()
RandomForestClassifier;0.7802;0.6823;0.7802;0.4563;0.7798;0.6808;0.7798;0.696;0.4986;0.5214;0.4986;0.3411;0.512;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0106, 'anger': 0.0071, 'anticipation': 0.0093, 'trust': 0.0104, 'surprise': 0.0087, 'sadness': 0.0118, 'disgust': 0.008, 'joy': 0.011};RandomForestClassifier()
RandomForestClassifier;0.7793;0.6795;0.7793;0.4555;0.7825;0.6711;0.7825;0.6974;0.4986;0.5217;0.4986;0.3409;0.5205;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0111, 'anger': 0.0067, 'anticipation': 0.0098, 'trust': 0.0104, 'surprise': 0.0086, 'sadness': 0.0088, 'disgust': 0.0077, 'joy': 0.0098};RandomForestClassifier()
RandomForestClassifier;0.7794;0.6802;0.7794;0.4564;0.7795;0.6719;0.7795;0.6958;0.4983;0.5131;0.4983;0.3414;0.5218;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0101, 'anger': 0.0077, 'anticipation': 0.0116, 'trust': 0.0106, 'surprise': 0.0087, 'sadness': 0.0096, 'disgust': 0.0071, 'joy': 0.0112};RandomForestClassifier()
RandomForestClassifier;0.7782;0.6774;0.7782;0.4548;0.7912;0.7004;0.7912;0.7097;0.4982;0.5089;0.4982;0.3416;0.5187;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy'];{'fear': 0.0097, 'anger': 0.0066, 'anticipation': 0.0106, 'trust': 0.0103, 'surprise': 0.0088, 'sadness': 0.0098, 'disgust': 0.0079, 'joy': 0.0105};RandomForestClassifier()
RandomForestClassifier;0.7856;0.6172;0.7856;0.4399;0.787;0.6193;0.787;0.6932;0.4977;0.2477;0.4977;0.3308;0.5177;not-balanced;60;10;kbest;['trust', 'joy'];{'trust': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.787;0.6194;0.787;0.4404;0.774;0.5991;0.774;0.6754;0.4977;0.2477;0.4977;0.3308;0.5138;not-balanced;50;10;kbest;['joy'];{'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.7852;0.6223;0.7852;0.44;0.7888;0.6222;0.7888;0.6957;0.4977;0.2477;0.4977;0.3308;0.5171;not-balanced;60;10;kbest;['trust', 'joy'];{'trust': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.7837;0.6754;0.7837;0.4424;0.7913;0.6884;0.7913;0.7029;0.4977;0.4924;0.4977;0.3322;0.523;not-balanced;70;10;kbest;['anticipation', 'trust', 'disgust', 'joy'];{'anticipation': 0.0024, 'trust': 0.0023, 'disgust': 0.0012, 'joy': 0.0036};RandomForestClassifier()
RandomForestClassifier;0.7857;0.6174;0.7857;0.44;0.7858;0.6174;0.7858;0.6915;0.4977;0.2477;0.4977;0.3308;0.5126;not-balanced;50;10;kbest;['joy'];{'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.7854;0.6454;0.7854;0.4405;0.7858;0.6174;0.7858;0.6915;0.4977;0.2477;0.4977;0.3308;0.5182;not-balanced;60;10;kbest;['trust', 'joy'];{'trust': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.7854;0.6168;0.7854;0.4399;0.7888;0.6222;0.7888;0.6957;0.4977;0.2477;0.4977;0.3308;0.5126;not-balanced;50;10;kbest;['joy'];{'joy': 0.0};RandomForestClassifier()
